index	Perturbed_Question1	Perturbed_Question2	label	Original_Question1	Original_Question2	original_label
616	 Io it advisable to senE your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying fattor into graduate admissions?	1	 Is it advisable to sent your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying factor into graduate admissions?	0
617	 How do you close a Bank of America account?	 How can Vne close a bank accounO online?	1	 How do you close a Bank of America account?	 How can one close a bank account online?	0
618	 How can I create the most popular question on Qqora?	 Which are the most popular questions on Quora presently that also create the most discussions?	1	 How can I create the most popular question on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	0
619	 What are the requirements to become president in the United States and how are the rFquirements different in Tancania?	 What are the requirements to becoye president in the United States and how are the requirements different in Fxance?	1	 What are the requirements to become president in the United States and how are the requirements different in Tanzania?	 What are the requirements to become president in the United States and how are the requirements different in France?	0
620	" ""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 bazd merber wrote the lyrics to """"Adam's Song""""?"""	1	" ""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	0
621	 WPy does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some wayd to take good care of them?	1	 Why does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some ways to take good care of them?	0
622	 Sf uqiverse is expanding without a limit and dark and vacuum eRergy are created as it expands…?	 If uKiverse can fxpand without iimit and it creates dark/vacuum/gravitational energy with it,then is the potentGal energy inqinite?	0	 If universe is expanding without a limit and dark and vacuum energy are created as it expands…?	 If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	1
623	 Hyw is India preparing for war against Pakistan?	 Is India preparing for a war?	1	 How is India preparing for war against Pakistan?	 Is India preparing for a war?	0
624	 Lhy we do study computer fundameital in software engineering.?	 Io we get to chose only oce computer ganguage when we are studying engineering?	1	 Why we do study computer fundamental in software engineering.?	 Do we get to chose only one computer language when we are studying engineering?	0
625	 What is the smartest questiLn bewides this queAtion?	 What are the smartest questiJns that you have hearv?	1	 What is the smartest question besides this question?	 What are the smartest questions that you have heard?	0
626	 What people who you've never met have influenced your life the most?	 Who are peoEle you have never meD who have had the Kreatest inflBence on your life?	0	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	1
627	 HoA much weed did Bot Mauley smkke a day?	 Now much weed should you smoke?	1	 How much weed did Bob Marley smoke a day?	 How much weed should you smoke?	0
628	 Whу are Africɑn-Americans so beautiful?	 Why are hispanics so beautiful?	1	 Why are African-Americans so beautiful?	 Why are hispanics so beautiful?	0
629	 I wɑnt to pursuе PhD in Computer Scieոce about social network,what is the oрen рroblem in social netԝorks?	 I hɑndle social mеdia for a non-рrofit. Should I stɑrt going to social media networking even𝚝s? Are there any good oոes in the bɑy ɑrea?	1	 I want to pursue PhD in Computer Science about social network,what is the open problem in social networks?	 I handle social media for a non-profit. Should I start going to social media networking events? Are there any good ones in the bay area?	0
630	 Is there a reason why we should traveⅼ alone?	 What are some reasons to travel alone?	0	 Is there a reason why we should travel alone?	 What are some reasons to travel alone?	1
631	 Wհat are some good baby girl ոames starting with D?	 What are some good baby girl names starting with D or H?	1	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or H?	0
632	 I am 25 year old guy and never had a girlfrienԁ. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	0	 I am 25 year old guy and never had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	1
633	 What are the best things to do in Hong Kong?	 What is the best 𝚝hing in Hong Kong?	0	 What are the best things to do in Hong Kong?	 What is the best thing in Hong Kong?	1
634	 Cɑn you TRANSLATE these to English languagе?	 Cɑn you traոslate this from Bengali to English langսage?	1	 Can you TRANSLATE these to English language?	 Can you translate this from Bengali to English language?	0
635	 Which is the best gaming laptop under 40𝒌?	 Which is the best gaming laptop under 40,000 rs?	0	 Which is the best gaming laptop under 40k?	 Which is the best gaming laptop under 40,000 rs?	1
636	 What is an easy way to clean toothpas𝚝e stains from a shirt ԝithout washing it?	 What are some ways to remove harԁ water stains from disհes?	1	 What is an easy way to clean toothpaste stains from a shirt without washing it?	 What are some ways to remove hard water stains from dishes?	0
637	 What was the deadliest battle in history?	 What was the bloodiest battle in histoⲅy?	0	 What was the deadliest battle in history?	 What was the bloodiest battle in history?	1
638	 What are your views about demonetisation in Indіa?	 What do you think about the ban on 500 and 1000 denomination notes in India?	0	 What are your views about demonetisation in India?	 What do you think about the ban on 500 and 1000 denomination notes in India?	1
639	 Is FMS Deⅼhi a good option for a MBA executive program?	 Is FMS a good chоice for an MBA in HR? Why and why not?	1	 Is FMS Delhi a good option for a MBA executive program?	 Is FMS a good choice for an MBA in HR? Why and why not?	0
640	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a house in Bɑy Area?	0	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a house in Bay Area?	1
641	 How is vanilla extrac𝚝 made?	 How do you make ѕugar cоokies wіthout vanilla extract?	1	 How is vanilla extract made?	 How do you make sugar cookies without vanilla extract?	0
642	 What is the Sahaⲅa, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	0	 What is the Sahara, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	1
643	 Wհy was the Roman Empire so succeѕsful?	 Wհat are some of the rarely 𝒌nown faϲts about the Roman Empire?	1	 Why was the Roman Empire so successful?	 What are some of the rarely known facts about the Roman Empire?	0
644	 Is it advisaЬle to sеnt your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying fɑctor into graduate admissіons?	1	 Is it advisable to sent your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying factor into graduate admissions?	0
645	 Wհat is the averɑge salɑry of a micrоbiologist in India?	 Wհat is the salarу for a рsychologist in india?	1	 What is the average salary of a microbiologist in India?	 What is the salary for a psychologist in india?	0
646	 How do you close a Bank of America account?	 How can one close a bank ɑccount online?	1	 How do you close a Bank of America account?	 How can one close a bank account online?	0
647	 How can I creɑte the most popular question on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	1	 How can I create the most popular question on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	0
648	 What are the requirements to becomе president in the United States and how are the requirements different in Tanzɑnia?	 What are the requirements to become president in the United States and how are the requiremeոts different in France?	1	 What are the requirements to become president in the United States and how are the requirements different in Tanzania?	 What are the requirements to become president in the United States and how are the requirements different in France?	0
649	" ""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 Ьand member wrote the lyrics to """"Adam's Song""""?"""	1	" ""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	0
650	 Why does a rainbow lorikeet make a good pet?	 Caո lorikeets be good pets? What are some wɑys to take good care of them?	1	 Why does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some ways to take good care of them?	0
651	 If սniverse is expanding without a limit and dark and vacuum energy are created as it expands…?	 If unіverse can expand without limi𝚝 and it creates dark/vacuum/gravitationaⅼ energy with it,then is the poteոtial energy infinite?	0	 If universe is expanding without a limit and dark and vacuum energy are created as it expands…?	 If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	1
652	 How is India preparing for wɑr against Pakistan?	 Is India preparing for a war?	1	 How is India preparing for war against Pakistan?	 Is India preparing for a war?	0
653	 Why we do study computer fundamental in sof𝚝ware engineering.?	 Do we get to chose only oոe computer language when we are studying engineering?	1	 Why we do study computer fundamental in software engineering.?	 Do we get to chose only one computer language when we are studying engineering?	0
654	 What is the smartest question bеsides this quеstion?	 Wհat are the smartest questions that you have heard?	1	 What is the smartest question besides this question?	 What are the smartest questions that you have heard?	0
655	 What is a good text editоr?	 What are the best text editor рlugins?	1	 What is a good text editor?	 What are the best text editor plugins?	0
656	 What people who you've ոever met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	0	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	1
657	 Hоw much weed did Bоb Marlеy smoke a day?	 How much weed should you smokе?	1	 How much weed did Bob Marley smoke a day?	 How much weed should you smoke?	0
658	 What is the next number of this seqսence? 5…..1𝟕……37…..89…..??	 What is the next number in the seqսence?	1	 What is the next number of this sequence? 5…..17……37…..89…..??	 What is the next number in the sequence?	0
659	 Which weЬsite is goоd for downloading Android (.apk) files?	 Android Application Development: Which software is usеd to develop APK files?	1	 Which website is good for downloading Android (.apk) files?	 Android Application Development: Which software is used to develop APK files?	0
660	 Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	 Do virtual particles and energy in vacuuｍ really exist? Can we observe them? Where? When?	0	 Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	 Do virtual particles and energy in vacuum really exist? Can we observe them? Where? When?	1
661	 Hоw ϲould an HIV-positive pеrson have children?	 Wоuld you marry an HIV positive person?	1	 How could an HIV-positive person have children?	 Would you marry an HIV positive person?	0
662	 I'm going to be US President one day. What should I stɑrt doing now to achieve this?	 I'm 16 and I want to become the US president someday. What should I start doing?	0	 I'm going to be US President one day. What should I start doing now to achieve this?	 I'm 16 and I want to become the US president someday. What should I start doing?	1
663	 Why MS Dhоni leɑve captaincy of ODI & T-20?	 Why does M.S Dhoni left captaincy for ODI and T20?	0	 Why MS Dhoni leave captaincy of ODI & T-20?	 Why does M.S Dhoni left captaincy for ODI and T20?	1
664	 are alieոs real or are they fake ?	 Do aliens exists?	0	 are aliens real or are they fake ?	 Do aliens exists?	1
665	 Where can I buy special flavor cupcake at Gоld Coast?	 Where can I found different flavours for cupcakes at Gold Coast?	0	 Where can I buy special flavor cupcake at Gold Coast?	 Where can I found different flavours for cupcakes at Gold Coast?	1
666	 Does marijuana cause canceⲅ?	 How can smoking marijuana give you lung cancer?	0	 Does marijuana cause cancer?	 How can smoking marijuana give you lung cancer?	1
667	 Is there a reason why we should distract alone?	 What are some reasons to travel alone?	0	 Is there a reason why we should travel alone?	 What are some reasons to travel alone?	1
668	 What are some good baby girl names starting with D?	 What are some good baby girl names composing with D or H?	1	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or H?	0
669	 I am 25 year antique guy and never had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	0	 I am 25 year old guy and never had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	1
670	 What are the best interludes to do in Hong Kong?	 What is the best thing in Hong Kong?	0	 What are the best things to do in Hong Kong?	 What is the best thing in Hong Kong?	1
671	 Which is the best gaming laptop under 40k?	 Which is the best gaming ipad under 40,000 rs?	0	 Which is the best gaming laptop under 40k?	 Which is the best gaming laptop under 40,000 rs?	1
672	 What is an deliberate track to wipe toothpaste stains from a overall without washing it?	 What are some orbits to wipe utmost spray stains from omelettes?	1	 What is an easy way to clean toothpaste stains from a shirt without washing it?	 What are some ways to remove hard water stains from dishes?	0
673	 What was the deadliest blitz in history?	 What was the bloodiest battle in history?	0	 What was the deadliest battle in history?	 What was the bloodiest battle in history?	1
674	 What are your frescoes about demonetisation in India?	 What do you think about the ban on 500 and 1000 denomination notes in India?	0	 What are your views about demonetisation in India?	 What do you think about the ban on 500 and 1000 denomination notes in India?	1
675	 Pleases FMS Delhi a good option for a MBA executive program?	 Assumes FMS a good choice for an MBA in HR? Why and why not?	1	 Is FMS Delhi a good option for a MBA executive program?	 Is FMS a good choice for an MBA in HR? Why and why not?	0
676	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a jail in Bay Area?	0	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a house in Bay Area?	1
677	 Is it advisable to sent your cv to a professor with whom you are essaying to make contact for graduate admission?	 However does contacting a professor before applying regard into graduate admissions?	1	 Is it advisable to sent your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying factor into graduate admissions?	0
678	 Way do you close a Bank of America explanation?	 How can one close a bank illustration online?	1	 How do you close a Bank of America account?	 How can one close a bank account online?	0
679	 How can I create the most popular enquiry on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	1	 How can I create the most popular question on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	0
680	 What are the requirements to fall president in the United States and how are the essentials different in Tanzania?	 What are the requirements to turn president in the United States and how are the requirements variant in France?	1	 What are the requirements to become president in the United States and how are the requirements different in Tanzania?	 What are the requirements to become president in the United States and how are the requirements different in France?	0
681	" ""Who is the Adam the compositions to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 mankind member wrote the compositions to """"Adam's Song""""?"""	1	" ""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	0
682	 Why does a cloud lorikeet make a good pet?	 Can lorikeets be good pets? What are some orbits to take good care of them?	1	 Why does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some ways to take good care of them?	0
683	 If comet is expanding without a confinement and dark and vacuum energy are created as it expands…?	 If mars can evolve without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	0	 If universe is expanding without a limit and dark and vacuum energy are created as it expands…?	 If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	1
684	 How is India preparing for war against Pakistan?	 Tills India preparing for a war?	1	 How is India preparing for war against Pakistan?	 Is India preparing for a war?	0
685	 Why we do study computer main in software engineering.?	 Exist we get to chose only one computer language when we are studying engineering?	1	 Why we do study computer fundamental in software engineering.?	 Do we get to chose only one computer language when we are studying engineering?	0
686	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest penetration on your life?	0	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	1
687	 Way immeasurable clover did Bob Marley cure a day?	 How immeasurable weed should you fog?	1	 How much weed did Bob Marley smoke a day?	 How much weed should you smoke?	0
688	 What is the next number of this chronology? 5…..17……37…..89…..??	 What is the next number in the alignment?	1	 What is the next number of this sequence? 5…..17……37…..89…..??	 What is the next number in the sequence?	0
689	 Are vacuum fluctuations occuring because the verve in vacuum? Are these virtual particles?	 Do virtual particles and energy in vacuum really exist? Can we observe them? Where? When?	0	 Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	 Do virtual particles and energy in vacuum really exist? Can we observe them? Where? When?	1
690	 How could an HIV-positive indicative have babies?	 Would you marry an HIV positive mankind?	1	 How could an HIV-positive person have children?	 Would you marry an HIV positive person?	0
691	 I'm going to be US President one day. What should I start doing now to achieve this?	 I'm 16 and I want to become the US headmaster someday. What should I start doing?	0	 I'm going to be US President one day. What should I start doing now to achieve this?	 I'm 16 and I want to become the US president someday. What should I start doing?	1
692	 are sprites real or are they fake ?	 Do aliens exists?	0	 are aliens real or are they fake ?	 Do aliens exists?	1
693	 Where can I buy special curry cupcake at Gold Coast?	 Where can I found different flavours for cupcakes at Gold Coast?	0	 Where can I buy special flavor cupcake at Gold Coast?	 Where can I found different flavours for cupcakes at Gold Coast?	1
694	 Does marijuana cause cancer?	 How can toasting marijuana give you lung cancer?	0	 Does marijuana cause cancer?	 How can smoking marijuana give you lung cancer?	1
695	 Is there a reason why we should travel alone?	 What are some reasons to travel unequaled?	0	 Is there a reason why we should travel alone?	 What are some reasons to travel alone?	1
696	 What are some good baby miss names starting with D?	 What are some good baby girl appoint starting with D or H?	1	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or H?	0
697	 iodine am 25 year old guy and never had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	0	 I am 25 year old guy and never had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	1
698	 What are the scoop things to do in Hong Kong?	 What is the best thing in Hong Kong?	0	 What are the best things to do in Hong Kong?	 What is the best thing in Hong Kong?	1
699	 tail you TRANSLATE these to English language?	 sack you translate this from Bengali to English nomenclature?	1	 Can you TRANSLATE these to English language?	 Can you translate this from Bengali to English language?	0
700	 Which is the best punt laptop under 40k?	 Which is the best gambling laptop under 40,000 rs?	0	 Which is the best gaming laptop under 40k?	 Which is the best gaming laptop under 40,000 rs?	1
701	 What is an soft way to blank toothpaste stains from a shirt without washing it?	 What are some way to slay hard weewee stains from sweetheart?	1	 What is an easy way to clean toothpaste stains from a shirt without washing it?	 What are some ways to remove hard water stains from dishes?	0
702	 What was the deadliest battle in history?	 What was the blinking battle in history?	0	 What was the deadliest battle in history?	 What was the bloodiest battle in history?	1
703	 What are your views about demonetisation in Bharat?	 What do you think about the ban on 500 and 1000 denomination notes in India?	0	 What are your views about demonetisation in India?	 What do you think about the ban on 500 and 1000 denomination notes in India?	1
704	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a theater in Bay Area?	0	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a house in Bay Area?	1
705	 How is vanilla educe made?	 How do you piss pelf cookies without vanilla elicit?	1	 How is vanilla extract made?	 How do you make sugar cookies without vanilla extract?	0
706	 equal it advisable to sent your cv to a professor with whom you are adjudicate to make contact for graduate admission?	 How does adjoin a professor before applying agent into graduate admissions?	1	 Is it advisable to sent your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying factor into graduate admissions?	0
707	 How do you close a Bank of US account?	 How can one close a bank account online?	1	 How do you close a Bank of America account?	 How can one close a bank account online?	0
708	" ""Who is the XTC the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	1	" ""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	0
709	 Why does a rainbow lorikeet realise a good pet?	 Can lorikeets be good pet? What are some ways to proceeds good care of them?	1	 Why does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some ways to take good care of them?	0
710	 If universe is expanding without a limit and nighttime and vacuum get-up-and-go are created as it expands…?	 If universe can expatiate without limit and it creates non-white/vacuum/gravitational energy with it,then is the potentiality energy space?	0	 If universe is expanding without a limit and dark and vacuum energy are created as it expands…?	 If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	1
711	 How is India preparing for war against Pakistan?	 Is India fix for a war?	1	 How is India preparing for war against Pakistan?	 Is India preparing for a war?	0
712	 Why we do study computer primal in software engineering.?	 Do we sire to chose only I computer language when we are studying engineering?	1	 Why we do study computer fundamental in software engineering.?	 Do we get to chose only one computer language when we are studying engineering?	0
713	 What is the smartest question besides this dubiousness?	 What are the smartest questions that you have try?	1	 What is the smartest question besides this question?	 What are the smartest questions that you have heard?	0
714	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest charm on your life?	0	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	1
715	 What is the next number of this sequence? 5…..17……xxxvii…..eighty-nine…..??	 What is the next number in the sequence?	1	 What is the next number of this sequence? 5…..17……37…..89…..??	 What is the next number in the sequence?	0
716	 Are vacuum fluctuations occuring because the get-up-and-go in vacuum? Are these virtual particles?	 Do virtual particles and energy in vacuum really exist? Can we observe them? Where? When?	0	 Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	 Do virtual particles and energy in vacuum really exist? Can we observe them? Where? When?	1
717	 I'm going to be uranium President one day. What should I start doing now to achieve this?	 I'm 16 and I want to become the US president someday. What should I start doing?	0	 I'm going to be US President one day. What should I start doing now to achieve this?	 I'm 16 and I want to become the US president someday. What should I start doing?	1
718	 Why megabyte Dhoni lead captaincy of ODI & T-20?	 Why does M.S Dhoni left captaincy for ODI and T20?	0	 Why MS Dhoni leave captaincy of ODI & T-20?	 Why does M.S Dhoni left captaincy for ODI and T20?	1
719	 are disaffect real or are they fake ?	 Do aliens exists?	0	 are aliens real or are they fake ?	 Do aliens exists?	1
720	 Where can I buy special flavor cupcake at gilt Coast?	 Where can I found different flavours for cupcakes at Gold Coast?	0	 Where can I buy special flavor cupcake at Gold Coast?	 Where can I found different flavours for cupcakes at Gold Coast?	1
721	 Does marijuana cause Crab?	 How can smoking marijuana give you lung cancer?	0	 Does marijuana cause cancer?	 How can smoking marijuana give you lung cancer?	1
722	 How do I control my hoⲅny emotions?	 How do you control your horniness?	0	 How do I control my horny emotions?	 How do you control your horniness?	1
723	 What causes stool colоr to change to yellow?	 What can cause stool to come out as littlе balls?	1	 What causes stool color to change to yellow?	 What can cause stool to come out as little balls?	0
724	 Wha𝚝 can oոe do after MBBS?	 What do i do after my MBBS ?	0	 What can one do after MBBS?	 What do i do after my MBBS ?	1
725	 How is air traffic controlled?	 How do you becоme an air traffic controller?	1	 How is air traffic controlled?	 How do you become an air traffic controller?	0
726	 What is the best self help book you have reaԁ? Why? How did it change your life?	 What are the top self help books I should read?	0	 What is the best self help book you have read? Why? How did it change your life?	 What are the top self help books I should read?	1
727	 What is the district of Edgware and how does the lifestyle compare to the London Bоrough of Islington?	 What is the county of Edgware and how does the lifestyle compɑre to the London Borough of Enfield?	1	 What is the district of Edgware and how does the lifestyle compare to the London Borough of Islington?	 What is the county of Edgware and how does the lifestyle compare to the London Borough of Enfield?	0
728	 What will be Hillary Clinton's policy towards Inԁia if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	0	 What will be Hillary Clinton's policy towards India if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	1
729	 What is the responsіbility of SAP ERP key user?	 What is a qualіfied SAP ERP key user?	1	 What is the responsibility of SAP ERP key user?	 What is a qualified SAP ERP key user?	0
730	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for 𝚝ensor calculus?	0	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for tensor calculus?	1
731	 How do you tհank a Disneyland cas𝚝 membеr?	 How can I go to Disneyland with littⅼe money?	1	 How do you thank a Disneyland cast member?	 How can I go to Disneyland with little money?	0
732	 What are the coolest Androіd hacks and tricks you know?	 What are some cool hacks for Android phones?	0	 What are the coolest Android hacks and tricks you know?	 What are some cool hacks for Android phones?	1
733	 I𝚏 you received a cհeck from Donald Knuth, what did you do and why did you ɡet it?	 How can I coոtact Donald Knutհ?	1	 If you received a check from Donald Knuth, what did you do and why did you get it?	 How can I contact Donald Knuth?	0
734	 Which are the best motivationaⅼ videos?	 What are some of the best motivational clips?	0	 Which are the best motivational videos?	 What are some of the best motivational clips?	1
735	 How do I loѕe weight fast?	 What is the best way to reduce weight fast?	0	 How do I lose weight fast?	 What is the best way to reduce weight fast?	1
736	 If a die is rollеd, what is the probabіlity that the number is grеater than Ꮞ?	 If a die is rolled. what is the probabilіty that the number on top is a Ʒ?	1	 If a die is rolled, what is the probability that the number is greater than 4?	 If a die is rolled. what is the probability that the number on top is a 3?	0
737	 What are the best resoսrces for learning Morse code?	 Wհat is Morse code?	1	 What are the best resources for learning Morse code?	 What is Morse code?	0
738	 How does an IQ test work and what is determined from an IQ test?	 How does IQ test workѕ?	0	 How does an IQ test work and what is determined from an IQ test?	 How does IQ test works?	1
739	 Is it safe to use Xiaomi mobile phones?	 Is it safe or unsafe to use Xiaoｍi Products?	0	 Is it safe to use Xiaomi mobile phones?	 Is it safe or unsafe to use Xiaomi Products?	1
740	 What are the best books on cosmology?	 Which is the best book for cosmoⅼogy?	0	 What are the best books on cosmology?	 Which is the best book for cosmology?	1
741	 Why did it take so long for NASA to find wateⲅ on Mars?	 How much chances are there that NASA already knew that there is water on Mars?	0	 Why did it take so long for NASA to find water on Mars?	 How much chances are there that NASA already knew that there is water on Mars?	1
742	 Where can I learո to invest in stocks?	 How can I learn more about stocks?	0	 Where can I learn to invest in stocks?	 How can I learn more about stocks?	1
743	 What are majоr and defining characteristics of Americans?	 What are some gоod characteristics of the American culture?	1	 What are major and defining characteristics of Americans?	 What are some good characteristics of the American culture?	0
744	 What's the best way to spend a ⅼong weekend?	 How do I spend my long weekend in an effective way?	0	 What's the best way to spend a long weekend?	 How do I spend my long weekend in an effective way?	1
745	 HTTP sites are not working while HTTPS sites are workiոg in Google Chrome? What are some solutions?	 Wհy are the HTTPS sites not working?	1	 HTTP sites are not working while HTTPS sites are working in Google Chrome? What are some solutions?	 Why are the HTTPS sites not working?	0
746	 What are some of the most beautiful houseѕ in the world?	 Which are some of the most beautiful houses around the world?	0	 What are some of the most beautiful houses in the world?	 Which are some of the most beautiful houses around the world?	1
747	 What is the best lesson we should learn from lіfe?	 What's the most important lesson about life?	0	 What is the best lesson we should learn from life?	 What's the most important lesson about life?	1
748	 Whо are the best technologу recruiters in San Diego and Orange County?	 Which are the best recruiters for technology executivеs in the san diego Area?	1	 Who are the best technology recruiters in San Diego and Orange County?	 Which are the best recruiters for technology executives in the san diego Area?	0
749	 If Truｍp were elected, would he pardon Edward Snowden?	 What is Trump's take on Edward Snowden?	0	 If Trump were elected, would he pardon Edward Snowden?	 What is Trump's take on Edward Snowden?	1
750	 What would happen if watеr disappeared from the earth?	 What would happen if ɑnts disappeared from the Earth?	1	 What would happen if water disappeared from the earth?	 What would happen if ants disappeared from the Earth?	0
751	 What was your ԝeirdest childhood іnterest?	 Whо are some aⲅtists with іnteresting or inspiⲅing childhoods?	1	 What was your weirdest childhood interest?	 Who are some artists with interesting or inspiring childhoods?	0
752	 What's the easiest way to learn Jɑva programs?	 What is the easiest way to learn java programming?	0	 What's the easiest way to learn Java programs?	 What is the easiest way to learn java programming?	1
753	 How do I control my horny emotions?	 How do you predominate your horniness?	0	 How do I control my horny emotions?	 How do you control your horniness?	1
754	 What causes stool color to represent to yellow?	 What can cause stool to come out as golden gears?	1	 What causes stool color to change to yellow?	 What can cause stool to come out as little balls?	0
755	 How is air traffic controlled?	 How do you go an air conveyance controller?	1	 How is air traffic controlled?	 How do you become an air traffic controller?	0
756	 What is the best self help ledger you have read? Why? How did it change your life?	 What are the top self help books I should read?	0	 What is the best self help book you have read? Why? How did it change your life?	 What are the top self help books I should read?	1
757	 Enliven you need a passport to move to Jamaica from the United States?	 However can I move to Jamaica?	1	 Do you need a passport to go to Jamaica from the United States?	 How can I move to Jamaica?	0
758	 What will be Hillary Clinton's policy towards India if she becomes headmaster?	 What will be Hilary Clinton's policy towards India if she become President?	0	 What will be Hillary Clinton's policy towards India if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	1
759	 What is the vocation of SAP ERP key user?	 What is a described SAP ERP key user?	1	 What is the responsibility of SAP ERP key user?	 What is a qualified SAP ERP key user?	0
760	 Which is the best composition to study TENSOR for general relativity from basic?	 Which is the best book for tensor calculus?	0	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for tensor calculus?	1
761	 What are the coolest Android hacks and tricks you know?	 What are some cool channels for Android phones?	0	 What are the coolest Android hacks and tricks you know?	 What are some cool hacks for Android phones?	1
762	 Which are the best motivational videos?	 What are some of the best motivational notches?	0	 Which are the best motivational videos?	 What are some of the best motivational clips?	1
763	 How do I lose weight fast?	 What is the best way to reduce pendant fast?	0	 How do I lose weight fast?	 What is the best way to reduce weight fast?	1
764	 What are the best resources for learning Morse code?	 What is Morse alphabet?	1	 What are the best resources for learning Morse code?	 What is Morse code?	0
765	 How does an IQ test work and what is determined from an IQ test?	 How does IQ test compositions?	0	 How does an IQ test work and what is determined from an IQ test?	 How does IQ test works?	1
