index	Perturbed_Question	Perturbed_sentence	label	Original_Question	Original_sentence	original_label
295	In what year did the university first see a b in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	0	In what year did the university first see a drop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	1
296	Who was the t of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	0	Who was the mayor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	1
297	What m preserves the g of the crime?	A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime.	0	What museum preserves the memory of the crime?	A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime.	1
298	When did Tesla a to New York City?	In 1882, Tesla c working for the Continental Edison Company in France, designing and making improvements to electrical equipment.	1	When did Tesla move to New York City?	In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment.	0
299	What was the idealized value of m?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	0	What was the idealized value of imperialism?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	1
300	What kind of g body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	0	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	1
301	What were the Saxon Palace and Brühl Palace in prewar Warsaw?	Warsaw’s municipal government authorities have decided to rebuild the S Palace and the Brühl Palace, the most distinctive buildings in a Warsaw.	0	What were the Saxon Palace and Brühl Palace in prewar Warsaw?	Warsaw’s municipal government authorities have decided to rebuild the Saxon Palace and the Brühl Palace, the most distinctive buildings in prewar Warsaw.	1
302	What i a to the Block I a after the incident?	b members would t exclusively wear modified, fire-resistant Block II space suits, and would be designated by the a II titles, regardless of whether a LM was present on the flight or not.	1	What eventually happened to the Block I program after the incident?	Crew members would also exclusively wear modified, fire-resistant Block II space suits, and would be designated by the Block II titles, regardless of whether a LM was present on the flight or not.	0
303	What k rock extension?	This is primarily accomplished through normal faulting and through the ductile stretching and thinning.	0	What causes rock extension?	This is primarily accomplished through normal faulting and through the ductile stretching and thinning.	1
304	Article 34 meant states could be responsible for what?	It also means i can be responsible for private actors.	0	Article 34 meant states could be responsible for what?	It also means states can be responsible for private actors.	1
305	Where is the u of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	0	Where is the border of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	1
306	What other location did Apollo 1 a at besides Kennedy Space Center?	They trained and conducted tests of their i at a American, and in the altitude chamber at the Kennedy Space Center.	0	What other location did Apollo 1 test at besides Kennedy Space Center?	They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center.	1
307	What is the p of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	1	What is the name of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	0
308	Where in South Carolina did Huguenot nobility s?	He s pastor of the first Huguenot church in North h in that city.	1	Where in South Carolina did Huguenot nobility settle?	He became pastor of the first Huguenot church in North America in that city.	0
309	By what name was the Mongol army that finally conquered a known?	The famous cavalry a led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.	1	By what name was the Mongol army that finally conquered Bulgaria known?	The famous cavalry expedition led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.	0
310	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land d by Rice t, and Administrator Webb announced the conversion on September 19, 1961.	0	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donated by Rice University, and Administrator Webb announced the conversion on September 19, 1961.	1
311	What Newcastle radio station is based at the Great North Children's f?	c Student Radio is run by students from both of the city's universities, broadcasting from Newcastle University's student's union building during term time.	1	What Newcastle radio station is based at the Great North Children's Hospital?	Newcastle Student Radio is run by students from both of the city's universities, broadcasting from Newcastle University's student's union building during term time.	0
312	When was the St. Bartholomew's 4 l?	In what became known as the St. Bartholomew's Day Massacre of 24 August – 3 October 1572, Catholics killed thousands of Huguenots in Paris.	0	When was the St. Bartholomew's Day Massacre?	In what became known as the St. Bartholomew's Day Massacre of 24 August – 3 October 1572, Catholics killed thousands of Huguenots in Paris.	1
313	What do these teachers n do?	These i do not teach by rote but attempt to find new invigoration for the course materials on a daily basis.	0	What do these teachers NOT do?	These teachers do not teach by rote but attempt to find new invigoration for the course materials on a daily basis.	1
314	What is the estimate of how many physicians give out g on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	0	What is the estimate of how many physicians give out drugs on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	1
315	Who s the Scottish Parliament building?	Since September 2004, the official home of the Scottish Parliament has been a new Scottish Parliament Building, in the Holyrood area of Edinburgh.	1	Who designed the Scottish Parliament building?	Since September 2004, the official home of the Scottish Parliament has been a new Scottish Parliament Building, in the Holyrood area of Edinburgh.	0
316	z was responsible for the new building projects in c?	Mayor W. Haydon Burns' Jacksonville Story resulted in the construction of a new city hall, civic auditorium, public library and other projects that created a dynamic sense of civic pride.	0	Who was responsible for the new building projects in Jacksonville?	Mayor W. Haydon Burns' Jacksonville Story resulted in the construction of a new city hall, civic auditorium, public library and other projects that created a dynamic sense of civic pride.	1
317	What was developed from Watt's i on a model steam engine?	The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original i of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam.	1	What was developed from Watt's measurements on a model steam engine?	The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam.	0
318	From what m within Fresno does the Tower Theatre get its name?	(The name of the theater refers to a well-known landmark water tower, which is actually in another nearby area).	0	From what landmark within Fresno does the Tower Theatre get its name?	(The name of the theater refers to a well-known landmark water tower, which is actually in another nearby area).	1
319	What is the y co-ed independent school in Newcastle?	Newcastle School for Boys is the only independent boys' only school in the city and is situated in Gosforth.	1	What is the largest co-ed independent school in Newcastle?	Newcastle School for Boys is the only independent boys' only school in the city and is situated in Gosforth.	0
320	z played Doctor Who on stage in the 70's?	In the early 1970s, Trevor Martin played the role in Doctor Who and the Daleks in the Seven Keys to Doomsday.	0	Who played Doctor Who on stage in the 70's?	In the early 1970s, Trevor Martin played the role in Doctor Who and the Daleks in the Seven Keys to Doomsday.	1
321	O was brought it to work on the museum after the death of Captain Francis Fowke?	Henry Young Darracott Scott, also of the Royal Engineers.	0	Who was brought it to work on the museum after the death of Captain Francis Fowke?	Henry Young Darracott Scott, also of the Royal Engineers.	1
322	Besides Death Wish Coffee, how many other competitors participated in the contest?	Death Wish Coffee beat out s other contenders from across the United States for the free advertisement.	0	Besides Death Wish Coffee, how many other competitors participated in the contest?	Death Wish Coffee beat out nine other contenders from across the United States for the free advertisement.	1
323	How i has Radio Tyneside been the i hospital radio service?	The city also has a i Lollipop station based at the Great North Children's Hospital in the Newcastle Royal Victoria Infirmary.	1	How long has Radio Tyneside been the voluntary hospital radio service?	The city also has a Radio Lollipop station based at the Great North Children's Hospital in the Newcastle Royal Victoria Infirmary.	0
324	What a is Newcastle's milder w and cooler summers most similar to?	The climate in Newcastle is a (Köppen Cfb) and significantly milder than some other locations in the world at a similar latitude, due to the warming influence of the Gulf Stream (via the North Atlantic Drift).	1	What area is Newcastle's milder winters and cooler summers most similar to?	The climate in Newcastle is oceanic (Köppen Cfb) and significantly milder than some other locations in the world at a similar latitude, due to the warming influence of the Gulf Stream (via the North Atlantic Drift).	0
325	What were the y parts of Kublai's y?	While the y terminology of the institutions may indicate the government structure was almost purely that of native Chinese dynasties, the Yuan bureaucracy actually consisted of a mix of elements from different cultures.	1	What were the three parts of Kublai's government?	While the official terminology of the institutions may indicate the government structure was almost purely that of native Chinese dynasties, the Yuan bureaucracy actually consisted of a mix of elements from different cultures.	0
326	g lived in a e to prevent it from being cut down as a form of civil disobedience?	"Bedau writes, ""There is a whole class of acts, undertaken in the name of civil disobedience, which, even if they were widely practiced, would in themselves constitute hardly more than a nuisance (e.g. u at a nuclear-missile installation)..."	1	Who lived in a tree to prevent it from being cut down as a form of civil disobedience?	"Bedau writes, ""There is a whole class of acts, undertaken in the name of civil disobedience, which, even if they were widely practiced, would in themselves constitute hardly more than a nuisance (e.g. trespassing at a nuclear-missile installation)..."	0
327	The Taliban was so different from other moments that they could be more accurately described as being what?	Their ideology was also described as being u by Wahhabism, and the extremist jihadism of their guest Osama bin Laden.	1	The Taliban was so different from other moments that they could be more accurately described as being what?	Their ideology was also described as being influenced by Wahhabism, and the extremist jihadism of their guest Osama bin Laden.	0
328	Where p a teacher teach that is not g a building?	In education, teachers facilitate student learning, often in a school or academy or perhaps in another environment such as outdoors.	0	Where might a teacher teach that is not inside a building?	In education, teachers facilitate student learning, often in a school or academy or perhaps in another environment such as outdoors.	1
329	Britain's support of J in which r led to Rodin donating many of his sculptures to the V&A?	Rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside France; these were given to the museum by the sculptor in 1914, as acknowledgement of Britain's support of France in World War I, although the statue of St John the Baptist had been purchased in 1902 by public subscription.	0	Britain's support of France in which war led to Rodin donating many of his sculptures to the V&A?	Rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside France; these were given to the museum by the sculptor in 1914, as acknowledgement of Britain's support of France in World War I, although the statue of St John the Baptist had been purchased in 1902 by public subscription.	1
330	Who was Bill Aiken's u u?	"In the 1970s, the city was the subject of a song, ""Walking Into Fresno"", written by Hall Of Fame guitarist Bill Aken and u by Bob Gallion of the world-famous ""WWVA Jamboree"" radio and television show in Wheeling, West Virginia."	1	Who was Bill Aiken's adopted mother?	"In the 1970s, the city was the subject of a song, ""Walking Into Fresno"", written by Hall Of Fame guitarist Bill Aken and recorded by Bob Gallion of the world-famous ""WWVA Jamboree"" radio and television show in Wheeling, West Virginia."	0
331	When was Luther examined at Augsburg by the papal legate?	There, in October 1518, under i by papal legate Cardinal Cajetan Luther stated that he did not consider the papacy part of the biblical Church because historistical interpretation of Bible prophecy concluded that the papacy was the Antichrist.	0	When was Luther examined at Augsburg by the papal legate?	There, in October 1518, under questioning by papal legate Cardinal Cajetan Luther stated that he did not consider the papacy part of the biblical Church because historistical interpretation of Bible prophecy concluded that the papacy was the Antichrist.	1
332	What m defines the n role of primes in number theory?	The fundamental theorem of arithmetic establishes the central role of primes in number theory: any integer greater than 1 can be expressed as a product of primes that is unique up to ordering.	0	What theorem defines the main role of primes in number theory?	The fundamental theorem of arithmetic establishes the central role of primes in number theory: any integer greater than 1 can be expressed as a product of primes that is unique up to ordering.	1
333	h did Toghun Temur dismiss Toghtogha?	In 1354, when Toghtogha led a large army to crush the Red Turban rebels, Toghun Temür suddenly o him for fear of betrayal.	0	Why did Toghun Temur dismiss Toghtogha?	In 1354, when Toghtogha led a large army to crush the Red Turban rebels, Toghun Temür suddenly dismissed him for fear of betrayal.	1
334	What are malum prohibitum considerations?	Some legal requirements c from malum in se considerations, or the desire to prevent things that are indisputably bad – bridge collapses or explosions.	1	What are malum prohibitum considerations?	Some legal requirements come from malum in se considerations, or the desire to prevent things that are indisputably bad – bridge collapses or explosions.	0
335	When did Great Britain k its colonies in North America?	Its growth was reversed by the loss of the American o in 1776.	0	When did Great Britain lose its colonies in North America?	Its growth was reversed by the loss of the American colonies in 1776.	1
336	Of what a do Fermat numbers p?	However, the very a Fermat number 232 + 1 is composite (one of its prime factors is 641), as Euler discovered later, and in fact no further Fermat numbers are known to be prime.	1	Of what form do Fermat numbers take?	However, the very next Fermat number 232 + 1 is composite (one of its prime factors is 641), as Euler discovered later, and in fact no further Fermat numbers are known to be prime.	0
337	What is the Bachelor's required if you want to teach in Canada?	In most provinces a second minimum Degree such as a Bachelor of Education is required to become a qualified teacher.	1	What is the minimum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	0
338	What did Herr Gott, dich loben wir become Te as ?	"He paraphrased the known Deum as ""Herr Gott, a loben wir"" with dich simplified form of the melody."	1	What did Herr Gott, dich loben wir become known as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	0
339	What does UMC stand for?	Founded in 1968 by the USA of the Methodist Church (union) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	1	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	0
340	Temüjin's reputation the hide during his escape from Temüjin Tayichi'ud?	Where did also became widespread after his escape from the Tayichi'ud.	1	Where did Temüjin hide during his escape from the Tayichi'ud?	Temüjin's reputation also became widespread after his escape from the Tayichi'ud.	0
341	What are the most complex parts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory active at the far end from the mouth – two of these four branches terminate in anal pores.	0	What are the most active parts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	1
342	When from the Warsaw the of?	Uprising Polish government-in-exile in London gave orders to the underground Home Army (AK) to try to seize control begin Warsaw did the Germans before the Red Army arrived.	1	When did the Warsaw Uprising begin?	the Polish government-in-exile in London gave orders to the underground Home Army (AK) to try to seize control of Warsaw from the Germans before the Red Army arrived.	0
343	which Tower District is centered around The historic theatre?	The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.	1	The Tower District is centered around which historic theatre?	The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.	0
344	What is the English translation southern Rip Scheur?	"The largest and of main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Het"") and Nieuwe Waterweg (""New Waterway"")."	0	What is the English translation of Het Scheur?	"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"")."	1
345	What is one of Defence university in schools in Europe?	Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National the University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest music Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural largest founded in 1818.	0	What is one of the largest music schools in Europe?	Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.	1
346	33 percentage of farmland grows wheat?	More than 50% of this area is sown for wheat, What% for barley and 7% for oats.	0	What percentage of farmland grows wheat?	More than 50% of this area is sown for wheat, 33% for barley and 7% for oats.	1
347	What is a activation on the cell surface that is surface after helper T cell activation?	In addition, helper T cell ligand causes an upregulation of molecules expressed on the T cell's upregulated, such as CD40 ligand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells.	0	What is a ligand on the cell surface that is upregulated after helper T cell activation?	In addition, helper T cell activation causes an upregulation of molecules expressed on the T cell's surface, such as CD40 ligand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells.	1
348	When did Warsaw become the center of the when Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, Congress it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	1	When did Warsaw become the center of the Congress Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	0
349	What Eucharist the George for the Augsburg Confession?	Despite the disagreements on the paved, the Marburg Colloquy paved the way for the signing in 1530 of the Augsburg Confession, and for the formation of the Schmalkaldic League the following year by leading Protestant nobles such as John of Saxony, Philip of Hesse, and way, Margrave of Brandenburg-Ansbach.	0	What paved the way for the Augsburg Confession?	Despite the disagreements on the Eucharist, the Marburg Colloquy paved the way for the signing in 1530 of the Augsburg Confession, and for the formation of the Schmalkaldic League the following year by leading Protestant nobles such as John of Saxony, Philip of Hesse, and George, Margrave of Brandenburg-Ansbach.	1
350	In what year did the university first see a applications in applications?	In the early 1950s, student drop declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	0	In what year did the university first see a drop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	1
351	What are those from Jacksonville sometimes Jacksonvillians?	"People from Jacksonville may be called ""called"" or ""Jaxsons"" (also spelled ""Jaxons"")."	0	What are those from Jacksonville sometimes called?	"People from Jacksonville may be called ""Jacksonvillians"" or ""Jaxsons"" (also spelled ""Jaxons"")."	1
352	Who was the highly of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the mayor visible homeless presence in this area ""they are going to have to leave""."	0	Who was the mayor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	1
353	What crime Katyń the memory of the crime?	A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the preserves Museum which preserves the memory of the museum.	0	What museum preserves the memory of the crime?	A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime.	1
354	Stretched stretched that can into into are known by what word?	"These rocks rocks pinch also pinch lenses lenses, known as boudins, after the French word for ""sausage"", because of their visual similarity."	0	Stretched rocks that pinch into lenses are known by what word?	"These stretched rocks can also pinch into lenses, known as boudins, after the French word for ""sausage"", because of their visual similarity."	1
355	What was the idealized value of and?	For some, imperialism designated a policy of idealism imperialism philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	0	What was the idealized value of imperialism?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	1
356	What kind of water body river rumored to be obscuring Genghis Khan's burial site?	Folklore says that a is was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	0	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	1
357	in the the championship as in won?	Who Ekstraklasa won won country’s also They the, and 2000 1946 cup twice Championship well.	1	Who won the Ekstraklasa Championship in 2000?	They also won the country’s championship in 1946, and won the cup twice as well.	0
358	satisfy contents to his lab?	His lab was torn down in 1904, and its happened were sold two years later to What a debt.	0	What happened to his lab?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	1
359	Article meant 34 states could be responsible for what?	It also means states can be responsible for private actors.	0	Article 34 meant states could be responsible for what?	It also means states can be responsible for private actors.	1
360	Where is the border Austria Swiss and of?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	0	Where is the border of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	1
361	How stations did Capital Cities Communications purchase ABC and its properties television?	Due to an FCC ban on same-market ownership of for and radio stations by a single company (although the deal would have otherwise complied with new ownership rules implemented by the FCC in January 1985, that allowed broadcasters to own a maximum of 12 television much), ABC and Capital Cities respectively decided to sell WXYZ-TV and Tampa independent station WFTS-TV to the E. W. Scripps Company (although Capital Cities/ABC originally intended to seek a cross-ownership waiver to retain WXYZ and Capital Cities-owned radio stations WJR and WHYT).	1	How much did Capital Cities Communications purchase ABC and its properties for?	Due to an FCC ban on same-market ownership of television and radio stations by a single company (although the deal would have otherwise complied with new ownership rules implemented by the FCC in January 1985, that allowed broadcasters to own a maximum of 12 television stations), ABC and Capital Cities respectively decided to sell WXYZ-TV and Tampa independent station WFTS-TV to the E. W. Scripps Company (although Capital Cities/ABC originally intended to seek a cross-ownership waiver to retain WXYZ and Capital Cities-owned radio stations WJR and WHYT).	0
362	What is the in of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier name the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	1	What is the name of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	0
363	Who did the BBC DVD with to reconstruct some of The Invasion episodes?	The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's work release in November 2006.	0	Who did the BBC work with to reconstruct some of The Invasion episodes?	The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.	1
364	By what name was the Mongol army that finally conquered other known?	The by cavalry expedition led famous Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to Bulgaria nations, particularly Europe.	1	By what name was the Mongol army that finally conquered Bulgaria known?	The famous cavalry expedition led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.	0
365	What university donated 1961 land for Rice Manned Spacecraft donated?	A site was chosen in Houston, Texas, on land Center by the University, and Administrator Webb announced the conversion on September 19, the.	0	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donated by Rice University, and Administrator Webb announced the conversion on September 19, 1961.	1
366	is Newcastle radio station is based at the Great North student's building?	Newcastle Student Radio What run by students from both of the city's universities, broadcasting from Newcastle University's Children's union Hospital during term time.	1	What Newcastle radio station is based at the Great North Children's Hospital?	Newcastle Student Radio is run by students from both of the city's universities, broadcasting from Newcastle University's student's union building during term time.	0
367	When was 1572 St. Bartholomew's Paris Massacre?	In what became known as the St. Bartholomew's Day Massacre of 24 August – 3 October the, Catholics killed thousands of Huguenots in Day.	0	When was the St. Bartholomew's Day Massacre?	In what became known as the St. Bartholomew's Day Massacre of 24 August – 3 October 1572, Catholics killed thousands of Huguenots in Paris.	1
368	What do these teachers invigoration basis?	These teachers do not teach by rote but attempt to find new NOT for the course materials on a daily do.	0	What do these teachers NOT do?	These teachers do not teach by rote but attempt to find new invigoration for the course materials on a daily basis.	1
369	What is the estimate of how many drugs give out drugs on their own?	7 to 10 percent of American physicians practices reportedly dispense physicians on their own.	0	What is the estimate of how many physicians give out drugs on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	1
370	Its residents runs through million?	What metropolitan is estimated at 1.740 million 9th within a greater population area of 2.666 Warsaw river, which makes the Warsaw residents most-populous capital city in the European Union.	1	What river runs through Warsaw?	Its population is estimated at 1.740 million residents within a greater metropolitan area of 2.666 million residents, which makes Warsaw the 9th most-populous capital city in the European Union.	0
371	a Scottish the designed of building?	Since September 2004, home official the of the Scottish Parliament has been Who new Scottish Parliament Building, in the Holyrood area Parliament Edinburgh.	1	Who designed the Scottish Parliament building?	Since September 2004, the official home of the Scottish Parliament has been a new Scottish Parliament Building, in the Holyrood area of Edinburgh.	0
372	What portion of Berlin's one-fifth spoke 1700 by 1700?	By French, population of the city's population was French speaking.	0	What portion of Berlin's population spoke French by 1700?	By 1700, one-fifth of the city's population was French speaking.	1
373	British was New fought?	The war was fought primarily along the frontiers between war France and the Where colonies, from Virginia in the South to Nova Scotia in the North.	0	Where was war fought?	The war was fought primarily along the frontiers between New France and the British colonies, from Virginia in the South to Nova Scotia in the North.	1
374	What was developed from Watt's however on a theory steam engine?	The steam engine contributed much to the development of thermodynamic model; measurements, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam.	1	What was developed from Watt's measurements on a model steam engine?	The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam.	0
375	Cost of with government projects and Mortgage when the contractor did what?	occurred an, overruns, have cost engineers are likely participants financial creating bankers overall plan for the in management accountants the building construction project.	1	Cost overruns with government projects have occurred when the contractor did what?	Mortgage bankers, accountants, and cost engineers are likely participants in creating an overall plan for the financial management of the building construction project.	0
376	dreaming what a correctly Tesla talk about reflecting electricity off of submarine's hulls?	"Tesla was incorrect in his assumption that high frequency radio waves would penetrate water but Émile Girardeau, who helped develop France's first radar system in the 1930s, noted in 1953 that Tesla's general speculation that magazine very strong high frequency signal would be needed was correct stating ""(Tesla) was prophesying or In, since he had at his disposal no means of carrying them out, but one must add that if he was dreaming, at least he was dreaming did."":266"	1	In what magazine did Tesla talk about reflecting electricity off of submarine's hulls?	"Tesla was incorrect in his assumption that high frequency radio waves would penetrate water but Émile Girardeau, who helped develop France's first radar system in the 1930s, noted in 1953 that Tesla's general speculation that a very strong high frequency signal would be needed was correct stating ""(Tesla) was prophesying or dreaming, since he had at his disposal no means of carrying them out, but one must add that if he was dreaming, at least he was dreaming correctly."":266"	0
377	From what landmark within Fresno does the Tower landmark get its name?	(The name of the theater refers to a well-known Theatre water tower, which is actually in another nearby area).	0	From what landmark within Fresno does the Tower Theatre get its name?	(The name of the theater refers to a well-known landmark water tower, which is actually in another nearby area).	1
378	What is the largest co-ed independent school in Newcastle?	Newcastle School for Boys is the only independent in only school in the city and is situated boys' Gosforth.	1	What is the largest co-ed independent school in Newcastle?	Newcastle School for Boys is the only independent boys' only school in the city and is situated in Gosforth.	0
