index	Perturbed_Premise	Perturbed_Hypothesis	label	perturbed_label	Original_Premise	Original_Hypothesis
754	What changed?	What was?	1	0	What changed?	What was unique?
755	WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.	Whole life policies are a type of life insurance that only cover the insured person retirement from the workforce.	2	0	WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.	Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.
756	Boats in daily use lie within feet of the fashionable bars and restaurants.	Bars restaurants are interesting places.	1	2	Boats in daily use lie within feet of the fashionable bars and restaurants.	Bars and restaurants are interesting places.
757	i'm kind of familiar with the weather out that way in west Texas but not in not in Lewisville	I do know the weather conditions in Lewisville.  	0	1	i'm kind of familiar with the weather out that way in west Texas but not in not in Lewisville	I do not know the weather conditions in Lewisville.  
758	yeah but uh do you have small kids	Do you any? 	1	2	yeah but uh do you have small kids	Do you have any children? 
759	Sir James's presence in Manchester was not accidental.	Manchester not the place that Sir James had intended to go.	2	0	Sir James's presence in Manchester was not accidental.	Manchester was not the place that Sir James had intended to go.
760	"Even us if you needed,"" said Jon."	He told them to ask him to lift a finger.	2	0	"Even us if you needed,"" said Jon."	He told them not to ask him to lift a finger.
761	"Enter the realm of shopping malls, where everything you're looking for is available without moving your car."	Everything be inside a shopping.	1	0	"Enter the realm of shopping malls, where everything you're looking for is available without moving your car."	Everything can be found inside a shopping mall.
762	"As with other types of internal controls, this is a cycle of activity, not an exercise with a defined beginning and end."	"There is no clear beginning and end, it's a continuous."	0	1	"As with other types of internal controls, this is a cycle of activity, not an exercise with a defined beginning and end."	"There is no clear beginning and end, it's a continuous cycle."
763	Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.	 is better to have little than to have none at all.	0	1	Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.	It is better to have little than to have none at all.
764	I thought working on Liddy's campaign would be better than working on Bob's.	I thought I like working on Liddy's campaign the best.	1	0	I thought working on Liddy's campaign would be better than working on Bob's.	I thought I would like working on Liddy's campaign the best.
765	Then he is very sure. 	He is of himself.	1	2	Then he is very sure. 	He is very sure of himself.
766	As of last week he charges $50 an hour minimum instead of $25 for the services of his yearling Northern Utah Legal Aid Foundation.	His charges went.	2	1	As of last week he charges $50 an hour minimum instead of $25 for the services of his yearling Northern Utah Legal Aid Foundation.	His charges went down.
767	"Although all four categories of emissions are down substantially, they only achieve 50-75% of the proposed cap by 2007 (shown as the dotted horizontal line in each of the above figures)."	All of the emission categories experienced a downturn for one.	2	1	"Although all four categories of emissions are down substantially, they only achieve 50-75% of the proposed cap by 2007 (shown as the dotted horizontal line in each of the above figures)."	All of the emission categories experienced a downturn except for one.
768	"This testing of the marketplace may range from written or telephone contacts with knowledgeable federal and non-federal experts regarding similar or duplicate requirements and the results of any market test recently undertaken, to the more formal sources-sought announcements in pertinent publications (e.g."	This marketplace testing ranges from informal to formal.	0	1	"This testing of the marketplace may range from written or telephone contacts with knowledgeable federal and non-federal experts regarding similar or duplicate requirements and the results of any market test recently undertaken, to the more formal sources-sought announcements in pertinent publications (e.g."	This marketplace testing ranges from informal to formal surveys.
769	"They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior."	"The Jesuit that by converting the Asian people to Christianity, it would help them to expand their territory. "	2	0	"They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior."	"The Jesuit thought that by converting the Asian people to Christianity, it would help them to expand their territory. "
770	Another White House murder mystery and a chance to bash the genre.	 is a new at White House murder mystery.	1	0	Another White House murder mystery and a chance to bash the genre.	This is a new angle at White House murder mystery.
771	"Children, especially boys, are seen as a blessing and are treated with indulgence, fussed over by mothers and grandmothers."	Male are to luck to the family.	1	0	"Children, especially boys, are seen as a blessing and are treated with indulgence, fussed over by mothers and grandmothers."	Male children are considered to bring luck to the family.
772	The two programs are currently housed in buildings about a block apart.	The two buildings are on sides of the city.	2	0	The two programs are currently housed in buildings about a block apart.	The two buildings are on opposite sides of the city.
773	well Dana it's been really interesting and i appreciate talking with you	" for calling me, Dana."	1	2	well Dana it's been really interesting and i appreciate talking with you	"Thanks for calling me, Dana."
774	"The long-sought, the mysterious, the elusive Jane Finn! "	Jane Finn is easily found not looked for.	2	0	"The long-sought, the mysterious, the elusive Jane Finn! "	Jane Finn is easily found but not often looked for.
775	" ""An egg has got to hatch,"" he said."	A chick hatch from an egg.	1	2	" ""An egg has got to hatch,"" he said."	A chick must hatch from an egg.
776	i wonder how they kept up with them though it seemed like the buffaloes were moving so fast i guess they graze though that wouldn't have been a problem	"It seemed, keeping up with the buffaloes."	0	1	i wonder how they kept up with them though it seemed like the buffaloes were moving so fast i guess they graze though that wouldn't have been a problem	"It seemed difficult, keeping up with the buffaloes."
777	CHAPTER 6: HUMAN CAPITAL	 have.	1	0	CHAPTER 6: HUMAN CAPITAL	Humans have capital.
778	and those are the people that you know can you rehabilitate them the some of the ones that are you know perpetual	You wonder if it's possible to those types of people.	1	2	and those are the people that you know can you rehabilitate them the some of the ones that are you know perpetual	You wonder if it's possible to rehabilitate those types of people.
779	"What about the hole?"" They scanned the cliff-side narrowly."	They looked from the top of the cliff for the.	1	2	"What about the hole?"" They scanned the cliff-side narrowly."	They looked from the top of the cliff for the hole.
780	"Although this award will now be handed out annually, Bailey was selected for several years of his commitment."	The award which Bailey was selected for several times in the past is going to handed out a year.	0	1	"Although this award will now be handed out annually, Bailey was selected for several years of his commitment."	The award which Bailey was selected for several times in the past is going to handed out once a year.
781	"At 79 m (260 ft) wide and 36 m (118 ft) high, it was built by the Ptolemies during a total reconstruction of the temple in the years 237 105 b.c."	It was built in BC by the Ptolomies.  	0	1	"At 79 m (260 ft) wide and 36 m (118 ft) high, it was built by the Ptolemies during a total reconstruction of the temple in the years 237 105 b.c."	It was built in 105 BC by the Ptolomies.
782	and once we came here it was like gosh i just miss that because it really is exciting to be around people of different	It was first came. 	1	0	and once we came here it was like gosh i just miss that because it really is exciting to be around people of different	It was exciting when we first came here. 
783	"The Vice President and his representatives have asserted that GAO lacks the statutory authority to examine the activities of the NEPDG, recognizing only GAOas authority to audit its financial transactions."	The Vice President has a few representatives. 	2	1	"The Vice President and his representatives have asserted that GAO lacks the statutory authority to examine the activities of the NEPDG, recognizing only GAOas authority to audit its financial transactions."	The Vice President has sacked a few representatives. 
784	"China could never trump the warhead blizzard Washington would send in retaliation against any atomic attack, though the country would be loath to cede to U.S. missile defenses the deterrence afforded by its handfuls of warheads."	China had many nuclear warhead than the US.	2	1	"China could never trump the warhead blizzard Washington would send in retaliation against any atomic attack, though the country would be loath to cede to U.S. missile defenses the deterrence afforded by its handfuls of warheads."	China had many more nuclear warhead than the US.
785	Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.	This chapter is in the category.	2	1	Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.	This chapter is in the advance category.
786	"Beatrice and Grace made out OK legally, but some of us will never use their products again without thinking about Travolta losing his shirt in the name of those wasted-away little kids."	Beatrice and ended up in prison at the end.	2	0	"Beatrice and Grace made out OK legally, but some of us will never use their products again without thinking about Travolta losing his shirt in the name of those wasted-away little kids."	Beatrice and Grace ended up in prison at the end.
787	"Sure enough, there was the chest, a fine old piece, all studded with brass nails, and full to overflowing with every imaginable type of garment. "	The chest big enough to completely contain all of the garments.	0	1	"Sure enough, there was the chest, a fine old piece, all studded with brass nails, and full to overflowing with every imaginable type of garment. "	The chest wasn't big enough to completely contain all of the garments.
788	"17 ""Surely you are not thinking of refusing?"	You should pass up the.	2	0	"17 ""Surely you are not thinking of refusing?"	You should pass up the opportunity.
789	GAO's Web site (www.gao.gov) contains abstracts and full-text files ofcurrent reports and testimony and an expanding archive of older products.	The GAO has received many due to lack of a website. 	2	0	GAO's Web site (www.gao.gov) contains abstracts and full-text files ofcurrent reports and testimony and an expanding archive of older products.	The GAO has received many complaints due to lack of a website. 
790	"High Crimes is painfully shoddy, even for a book rushed to press."	Books that are rushed to press are usually.	1	2	"High Crimes is painfully shoddy, even for a book rushed to press."	Books that are rushed to press are usually shoddy.
791	We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.	Leading organizations want to be their are successful.	1	2	We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.	Leading organizations want to be sure their processes are successful.
792	"For instance, when Clinton cited executive privilege as a reason for holding back a memo from FBI Director Louis Freeh criticizing his drug policies, Bob Dole asserted that the president had no basis for refusing to divulge it."	Bob Dole stated that Clinton had right to privilege for actions not involving the presidency.	1	0	"For instance, when Clinton cited executive privilege as a reason for holding back a memo from FBI Director Louis Freeh criticizing his drug policies, Bob Dole asserted that the president had no basis for refusing to divulge it."	Bob Dole stated that Clinton had no right to privilege for actions not involving the presidency.
793	yeah yeah i think well i know it's true you see a lot of that you know rally behind the female she may lose but by golly we're going to make a statement here	It wouldn't count for anything we rallied behind a female candidate.	2	0	yeah yeah i think well i know it's true you see a lot of that you know rally behind the female she may lose but by golly we're going to make a statement here	It wouldn't count for anything if we rallied behind a female candidate.
794	The Government does not sacrifice anything of value in exchange and the entity that forfeits the property does not receive anything of value.	The entity will receive appropriate for forfeited property.	2	0	The Government does not sacrifice anything of value in exchange and the entity that forfeits the property does not receive anything of value.	The entity will receive appropriate compensation for forfeited property.
795	"Some predict the jokes will wear thin soon, while others call it definitively depraved (Tom Shales, the Washington Post ). (Download a clip from South Park here.)"	Press interest in South Park jokes.	1	2	"Some predict the jokes will wear thin soon, while others call it definitively depraved (Tom Shales, the Washington Post ). (Download a clip from South Park here.)"	Press has taken interest in South Park jokes.
796	The red moon made her skin glow.	Her skin was falling off of the red moon.	2	0	The red moon made her skin glow.	Her skin was falling off because of the red moon.
797	The contrast between the landscape of the central highlands and the south coast could not be more marked.	The contrast between the highlands and the coast were marked.	0	1	The contrast between the landscape of the central highlands and the south coast could not be more marked.	The contrast between the highlands and the coast were easily marked.
798	yeah now do Indian are Indian foods kosher	 foods are kosher too.	1	2	yeah now do Indian are Indian foods kosher	Indian foods are kosher now too.
799	"Most of Slate will not be published next week, the third and last of our traditional summer weeks off."	Slate be published much this summer.	1	0	"Most of Slate will not be published next week, the third and last of our traditional summer weeks off."	Slate won't be published much this summer.
800	"Tax records show Waters earned around $65,000 in 2000."	Waters' tax records show he earned a blue last year.	2	0	"Tax records show Waters earned around $65,000 in 2000."	Waters' tax records show he earned a blue ribbon last year.
801	'I don't suppose you could forget I ever said that?'	I that you can remember that forever. 	2	0	'I don't suppose you could forget I ever said that?'	I hope that you can remember that forever. 
802	"This number represents the most reliable, albeit conservative, estimate of cases closed in 1999 by LSC grantees."	This is an verified number of closed cases.	0	1	"This number represents the most reliable, albeit conservative, estimate of cases closed in 1999 by LSC grantees."	This is an actual verified number of closed cases.
803	"He saw Stark buried under the earth, screaming for a mercy or death that would never come and crawling out of the rock decades later."	Stark got buried a big hole.	1	2	"He saw Stark buried under the earth, screaming for a mercy or death that would never come and crawling out of the rock decades later."	Stark got buried in a big hole.
804	yeah those yeah it was all bloodless and the good guys can get hit all day long and they have to shake it off they don't they don't you know get  epileptic fits or anything from getting hit on the head	That was the goriest most true to life I've ever seen and I think that's gonna affect me for a long time.	2	0	yeah those yeah it was all bloodless and the good guys can get hit all day long and they have to shake it off they don't they don't you know get  epileptic fits or anything from getting hit on the head	That was the goriest most true to life thing I've ever seen and I think that's gonna psychologically affect me for a long time.
805	"I'm sure he'll be back to work soon enough- it's only a leg wound, barely broken flesh."	My legs will never.	2	0	"I'm sure he'll be back to work soon enough- it's only a leg wound, barely broken flesh."	My legs will never heal.
806	Simpson through the tunnels of time.	Simpson the future and the past.	1	2	Simpson through the tunnels of time.	Simpson in the future and the past.
807	"In the 19th century, when Kashmir was the most exotic hill-station of them all, the maharaja forbade the British to buy land there, so they then hit on the brilliant alternative of building luxuriously appointed houseboats moored on the lakes near Srinagar."	The maharaja allowed the to build houseboats on the lakes.	0	1	"In the 19th century, when Kashmir was the most exotic hill-station of them all, the maharaja forbade the British to buy land there, so they then hit on the brilliant alternative of building luxuriously appointed houseboats moored on the lakes near Srinagar."	The maharaja allowed the British to build houseboats on the lakes.
808	"'Don't worry,' he whispered."	He freaked out.	2	0	"'Don't worry,' he whispered."	He was freaked out.
809	and uh we went through a time period that we had three Danes	"For three years, we had three."	1	2	and uh we went through a time period that we had three Danes	"For three years, we had three Danes."
810	"The cuts will take the biggest bite out of Land of Lincoln, a network of eight offices and 40 lawyers who help clients in southern Illinois with problems like eviction, access to Social Security and obtaining orders of protection from abusive spouses."	"Land of Lincoln, a network of eight offices and 40 lawyers pro bono and reduced cost legal services in Illinois, will be impacted by the cuts."	1	2	"The cuts will take the biggest bite out of Land of Lincoln, a network of eight offices and 40 lawyers who help clients in southern Illinois with problems like eviction, access to Social Security and obtaining orders of protection from abusive spouses."	"Land of Lincoln, a network of eight offices and 40 lawyers providing pro bono and reduced cost legal services in Illinois, will be significantly impacted by the cuts."
811	"Carmel Man, a relation of the Neanderthal family, lived here 600,000 years ago."	Carmel Man.	0	1	"Carmel Man, a relation of the Neanderthal family, lived here 600,000 years ago."	Carmel Man isn't alive today.
812	"The islands' names refer to the different force winds hitting them, not their topography."	The way the islands are called is based the force of the they experience.	0	1	"The islands' names refer to the different force winds hitting them, not their topography."	The way the islands are called is based on the force of the wins they experience.
813	He and his associates weren't operating at the level of metaphor.	His associates' was operating at the level of the metaphor. 	2	0	He and his associates weren't operating at the level of metaphor.	His associates' boss was operating at the level of the metaphor. 
814	oh like if they say i i we just type it in like that	 it before typing it in.	2	1	oh like if they say i i we just type it in like that	Change it before typing it in.
815	"See you Aug. 12, or soon thereafter, we hope."	The was going to attend on 12.	1	2	"See you Aug. 12, or soon thereafter, we hope."	The person was going to attend on August 12.
816	in each square	On the square.	2	1	in each square	On the square outline.
817	"Also, disappointing earnings reports from Intel and other blue-chip companies in the two weeks leading up to the crash caused investors to question the value of entire portfolios."	Intel has had many earning reports.	1	0	"Also, disappointing earnings reports from Intel and other blue-chip companies in the two weeks leading up to the crash caused investors to question the value of entire portfolios."	Intel has had many disappointing earning reports.
818	but there's no uh inscriptions or or dates or anything else	There any dates on it?	1	2	but there's no uh inscriptions or or dates or anything else	There aren't any dates on it?
819	"When the two nations divided it up, France got 54 sq km (21 sq miles) and Holland agreed to take just 41 sq km (16 sq miles), but that included the important salt pond near the Dutch capital of Philipsburg."	The French up with control over the salt pound.	2	0	"When the two nations divided it up, France got 54 sq km (21 sq miles) and Holland agreed to take just 41 sq km (16 sq miles), but that included the important salt pond near the Dutch capital of Philipsburg."	The French ended up with control over the salt pound.
820	and uh as a matter of fact he's a draft dodger	"He's never from the draft, even when it was most dire."	2	0	and uh as a matter of fact he's a draft dodger	"He's never shirked from the draft, even when it was most dire."
821	"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414."	Section helps higher allowance allocations for each unit.	2	0	"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414."	Section 414 helps higher allowance allocations for each unit.
822	"Maybe in that sense, the behavior of the Pippens and Iversons of the world is defensible."	Pippens and Iverson are.	2	1	"Maybe in that sense, the behavior of the Pippens and Iversons of the world is defensible."	Pippens and Iverson are penguins.
823	no i i i don't i it completely beyond me i went to my under graduate uh education	"I remember, I did my undergraduate education."	1	0	no i i i don't i it completely beyond me i went to my under graduate uh education	"I can't remember, I did my undergraduate education."
824	they ought to take all them little misdemeanor people let them go let them go	they let go all non-violent offenders	1	2	they ought to take all them little misdemeanor people let them go let them go	they should let go all non-violent offenders
825	"The village is tiny and a total contrast to the bustle of the Trenchtown ghetto in Kingston, where he lived as a recording superstar."	"He lived in Kingston, but he came from a."	1	2	"The village is tiny and a total contrast to the bustle of the Trenchtown ghetto in Kingston, where he lived as a recording superstar."	"He lived in Kingston, but he came from a tiny village."
826	(j) Promotional items a member receives as a consequence of using travel or transportation services procured by the United States or accepted pursuant to 31	A can receive promotional items if they are from Spain and do not travel.	2	0	(j) Promotional items a member receives as a consequence of using travel or transportation services procured by the United States or accepted pursuant to 31	A non-member can receive promotional items if they are from Spain and do not travel.
827	"Second, Clinton hasn't used the bully pulpit to speak out against drug use nearly as often as his two predecessors did."	 Clinton used the bully pulpit to speak out against drug use.	2	0	"Second, Clinton hasn't used the bully pulpit to speak out against drug use nearly as often as his two predecessors did."	Hillary Clinton used the bully pulpit to speak out against drug use.
828	The Kal nodded.	The Kal shook its head side to side.	2	0	The Kal nodded.	The Kal then shook its head side to side.
829	Agency officials stated that copies of both the initial and the final analysis were submitted to the Chief Counsel for Advocacy at the Small Business Administration as required by section 605(b).	The Chief Counsel for Advocacy at the Small Business Administration did not receive either of these analyses.	2	0	Agency officials stated that copies of both the initial and the final analysis were submitted to the Chief Counsel for Advocacy at the Small Business Administration as required by section 605(b).	The Chief Counsel for Advocacy at the Small Business Administration did not actually receive either of these analyses.
830	"appropriate agency representatives, help resolve"	"the right agency employees, fix"	0	2	"appropriate agency representatives, help resolve"	"the right agency employees, help fix"
831	"In fact, the sloping shoulder was the noticeable feature of the new clothes of the Dior era, coming as it did immediately in the wake of the Joan Crawford/Rosalind Russell period and its vigorous shoulder padding."	 was known for their exquisite blazers with thick heavy shoulder pads. 	2	0	"In fact, the sloping shoulder was the noticeable feature of the new clothes of the Dior era, coming as it did immediately in the wake of the Joan Crawford/Rosalind Russell period and its vigorous shoulder padding."	Dior was known for their exquisite blazers with thick heavy shoulder pads. 
832	"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage."	Interest is almost expressed in terms of percent. 	0	1	"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage."	Interest is almost always expressed in terms of percent. 
833	"The analysis also addresses the various alternatives to the final rule which were considered, including differing compliance or reporting requirements, use of performance rather than design standards, and an exemption for small entities from coverage of the rule."	The is subject to change.	1	2	"The analysis also addresses the various alternatives to the final rule which were considered, including differing compliance or reporting requirements, use of performance rather than design standards, and an exemption for small entities from coverage of the rule."	The rule is subject to change.
834	and that you're very much right but the jury may or may not see it that way so you get a little anticipate you know anxious there and go well you know	"Even if you're correct, I think the jury would up on that."	2	0	and that you're very much right but the jury may or may not see it that way so you get a little anticipate you know anxious there and go well you know	"Even if you're correct, I think the jury would pick up on that."
835	The conspiracy-minded allege that the chains also leverage their influence to persuade the big publishers to produce more blockbusters at the expense of moderate-selling books.	"Big publishers want to produce more high budget films, even if that means badly selling."	1	0	The conspiracy-minded allege that the chains also leverage their influence to persuade the big publishers to produce more blockbusters at the expense of moderate-selling books.	"Big publishers want to produce more high budget films, even if that means badly selling books."
836	"Only trouble was, they had infinite ammunition...we only had so many bullets."	They had a more bullets than we did.	0	1	"Only trouble was, they had infinite ammunition...we only had so many bullets."	They had a lot more bullets than we did.
837	"The park is a graceful and elegant expanse with fine views of the mountains, much loved by Dubliners since it was first opened to the public in 1747."	The park is okay and the views of the mountains are just.	2	0	"The park is a graceful and elegant expanse with fine views of the mountains, much loved by Dubliners since it was first opened to the public in 1747."	The park is okay and the views of the mountains are just okay.
838	"IDPA's OIG's mission is to prevent, detect, and eliminate fraud, waste, abuse, and misconduct in various payment programs."	IDPA's OIG's mission is and cares about payment programs.	0	1	"IDPA's OIG's mission is to prevent, detect, and eliminate fraud, waste, abuse, and misconduct in various payment programs."	IDPA's OIG's mission is clear and cares about payment programs.
839	well we bought this with credit too  well we found it with a clearance uh down in Memphis i guess and uh	We bought items in Memphis on credit.	2	1	well we bought this with credit too  well we found it with a clearance uh down in Memphis i guess and uh	We bought non-sale items in Memphis on credit.
840	"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images."	 have lined the streets with torches and fires.	2	0	"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images."	Vendors have lined the streets with torches and fires.
841	He was waiting for the Scotland Yard men. 	The were.	1	0	He was waiting for the Scotland Yard men. 	The Scotland Yard men were coming.
842	"Nowadays, a poverty lawyer working for one of New York's many agencies representing the indigent - including Legal Aid, the South Brooklyn Legal Services, the Lawyers Alliance for New York, InMotion, the Lawyers Committee for Human Rights, Volunteers of Legal Service, the Bronx Defenders and New York Lawyers for the Public Interest - might begin his or her career at $32,000 per annum, compared with the $125,000 average first-year associate salary at the city's larger firms."	Lawyers often to larger firms they will work for less pay.	2	1	"Nowadays, a poverty lawyer working for one of New York's many agencies representing the indigent - including Legal Aid, the South Brooklyn Legal Services, the Lawyers Alliance for New York, InMotion, the Lawyers Committee for Human Rights, Volunteers of Legal Service, the Bronx Defenders and New York Lawyers for the Public Interest - might begin his or her career at $32,000 per annum, compared with the $125,000 average first-year associate salary at the city's larger firms."	Lawyers often move to larger firms because they will work for less pay.
843	The guidelines do not apply to inpatient hospital services and hospice services and will be used by Medicare fiscal intermediaries to determine the maximum allowable costs of the therapy services.	When it comes to therapy services the policies and procedures are relevant.	0	2	The guidelines do not apply to inpatient hospital services and hospice services and will be used by Medicare fiscal intermediaries to determine the maximum allowable costs of the therapy services.	When it comes to therapy services the policies and procedures are not relevant.
844	"The unintended side effect is radical, direct  In what other state do voters set the tax rates?"	There is a radical side effect that was.	2	1	"The unintended side effect is radical, direct  In what other state do voters set the tax rates?"	There is a radical side effect that was intended.
845	"In 1923, Turkey broke away from the tired Ottoman rulers, and Kemal Ataturk rose to power on a wave of popular support."	Turkey was part of the Ottoman Empire 1923.	0	1	"In 1923, Turkey broke away from the tired Ottoman rulers, and Kemal Ataturk rose to power on a wave of popular support."	Turkey was part of the Ottoman Empire until 1923.
846	oh that might be kind of interesting is it	I'm sure if it will actually be interesting.	1	2	oh that might be kind of interesting is it	I'm not sure if it will actually be interesting.
847	(Cohen 1999) Although many observers would view this as an extreme step it could reduce costs and allow increased efficiencies.	They want to lower costs. 	2	1	(Cohen 1999) Although many observers would view this as an extreme step it could reduce costs and allow increased efficiencies.	They don't want to lower costs. 
848	"In addition, Saracens invaded the Provencal coast from North Africa, and Magyar armies attacked Lor?­raine and Bur?­gun?­dy."	The armies of launched an attack on Lorraine and.	0	2	"In addition, Saracens invaded the Provencal coast from North Africa, and Magyar armies attacked Lor?­raine and Bur?­gun?­dy."	The armies of Mayar launched an attack on Lorraine and Burgundy.
849	'These are human lives.	These are lives	0	1	'These are human lives.	These are Hunan lives
850	"Major journeys from one part of the country to another, say, from Milan to Rome or down to Naples, is most enjoyed by train buffs and travelers with plenty of time, patience, and curiosity."	"Train travel in Italy is generally, making it a practical option for impatient travelers."	2	1	"Major journeys from one part of the country to another, say, from Milan to Rome or down to Naples, is most enjoyed by train buffs and travelers with plenty of time, patience, and curiosity."	"Train travel in Italy is generally quick, making it a practical option for impatient travelers."
851	One he broke back to about the length of his forearm.	He snapped it it was just a couple of long.	2	1	One he broke back to about the length of his forearm.	He snapped it until it was just a couple of inches long.
852	but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head	It take a long time to do that because getting inside a person's head takes time.	1	2	but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head	It might take a long time to do that because getting inside a person's head takes time.
853	"In addition to the arguments previously advanced by the Vice Presidentas representatives and addressed in our June 22 letter to the Counsel to the Vice President (see Enclosure 1), the Vice Presidentas August 2 letter to the Congress asserts that the study is not authorized by statute because GAO is limited to looking at the aresults- of programs and that GAO does not have a right of access to documents because the Vice President is not included under the term aagency- used in GAOas statute."	The Vice President believes that GAO be able to read documents.	1	0	"In addition to the arguments previously advanced by the Vice Presidentas representatives and addressed in our June 22 letter to the Counsel to the Vice President (see Enclosure 1), the Vice Presidentas August 2 letter to the Congress asserts that the study is not authorized by statute because GAO is limited to looking at the aresults- of programs and that GAO does not have a right of access to documents because the Vice President is not included under the term aagency- used in GAOas statute."	The Vice President believes that GAO shouldn't be able to read documents.
854	"True devotees talk shop at even more specialized groups, such as one on Northeastern weather (ne.weather), whose recent conversation topics included the great blizzard of 1978 and the freak snowstorm of May 1977."	"Ne.weather is a general discussion group, not about weather. "	1	0	"True devotees talk shop at even more specialized groups, such as one on Northeastern weather (ne.weather), whose recent conversation topics included the great blizzard of 1978 and the freak snowstorm of May 1977."	"Ne.weather is a general discussion group, not only about weather. "
855	and i and i may have been the only one that did both because the mentality in Dallas was that you couldn't like both you had to like one and hate the other	"I did follow the mentality in Dallas, of only one team."	0	2	and i and i may have been the only one that did both because the mentality in Dallas was that you couldn't like both you had to like one and hate the other	"I did not follow the mentality in Dallas, of liking only one team."
856	"And far, far away- lying still on the tracks- was the back of the train."	The train was along the track. 	2	1	"And far, far away- lying still on the tracks- was the back of the train."	The train was speeding along the track. 
857	"I think it behooves Slate, in its effort to take over the public-opinion industry, to make a thorough effort to uncover the truth behind this unnatural connection."	Slate is obliged to launch an.	1	2	"I think it behooves Slate, in its effort to take over the public-opinion industry, to make a thorough effort to uncover the truth behind this unnatural connection."	Slate is obliged to launch an investigation.
858	Why bother to sacrifice your lives for dirt farmers and slavers?	People sacrifice their lives farmers.	1	0	Why bother to sacrifice your lives for dirt farmers and slavers?	People sacrifice their lives for farmers and slaves.
859	plus i like to dance you know	Plus I love get my groove on.	1	2	plus i like to dance you know	Plus I love to get my groove on.
860	i'm not sure what the overnight low was	It was 37 last night.	2	0	i'm not sure what the overnight low was	It was 37 degrees last night.
861	All requests to provide live testimony at one of the two public hearings were granted.	 of the who requested a live testimony ended up being dissapointed. 	2	0	All requests to provide live testimony at one of the two public hearings were granted.	Most of the people who requested a live testimony ended up being dissapointed. 
862	The last thing we want is any more attention or any more bounty hunters.	They their hands to get more attention.	2	0	The last thing we want is any more attention or any more bounty hunters.	They waived their hands to get more attention.
863	"There is a roller coaster up there as well, but experienced riders consider it too slow and uneventful despite the altitude."	The rollercoaster is too for most people. 	1	2	"There is a roller coaster up there as well, but experienced riders consider it too slow and uneventful despite the altitude."	The rollercoaster is too slow for most people. 
864	"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us."	We are only hope our clients have for legal assistance.	0	2	"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us."	We are the only hope our clients have for legal assistance.
865	"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design."	Hong Kong has few unique dining experiences.	1	0	"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design."	Hong Kong has a few unique dining experiences.
866	"Don't expect to be swinging much after midnight, even in towns."	Things stay open all night it's a place to party.	2	0	"Don't expect to be swinging much after midnight, even in towns."	Things stay open all night because it's a place to party.
867	and oh okay and then went to Colorado	I had to move to Nebraska just to.	2	0	and oh okay and then went to Colorado	I had to move back to Nebraska just to survive.
868	The door opened and Severn stepped out.	They for to open the door them.	2	1	The door opened and Severn stepped out.	They were waiting for someone to open the door for them.
869	paid back down it uh	I off balance.	1	2	paid back down it uh	I paid off the balance.
870	"By coordinating policy development and awareness activities in this manner, she helps ensure that new risks and policies are communicated promptly and that employees are periodically reminded of existing policies through means such as monthly bulletins, an intranet web site, and presentations to new employees."	She find new risks with the awareness campaign.	1	2	"By coordinating policy development and awareness activities in this manner, she helps ensure that new risks and policies are communicated promptly and that employees are periodically reminded of existing policies through means such as monthly bulletins, an intranet web site, and presentations to new employees."	She can find new risks with the awareness campaign.
