	Perturbed_Premise	Perturbed_Hypothesis	label	Original_Premise	Original_Hypothesis	true_label	Perturbed_label	attack
3032	Xerox itself paid a $ 10 million fine last year to dissipating similar DEHYDRATED charges .	Xerox itself previously paid a $ 10-million penalty to settle the SEC accusations .	0	Xerox itself paid a $ 10 million fine last year to settle similar SEC charges .	Xerox itself previously paid a $ 10-million penalty to settle the SEC accusations .	1	0	unknown
3033	""" This deal makes sense for both companies , "" said Nationalistic Chief Enforcing Brian Sarang ."	""" This deal makes sense for both companies , "" Halla said in a prepared statement ."	0	""" This deal makes sense for both companies , "" said National Chief Executive Brian Halla ."	""" This deal makes sense for both companies , "" Halla said in a prepared statement ."	1	0	unknown
3034	Morrill 's wife , Ellie , mourned and hugged Bondeson 's sister-in-law during the service .	At the service Morrill 's widow , Ellie , sobbed and hugged Bondeson 's sister-in-law as people consoled her .	1	Morrill 's wife , Ellie , sobbed and hugged Bondeson 's sister-in-law during the service .	At the service Morrill 's widow , Ellie , sobbed and hugged Bondeson 's sister-in-law as people consoled her .	0	1	unknown
3035	Spansion foodstuffs are to be available from both AMD and Fujitsu , AMD said .	Spansion Flash memory solutions are available worldwide from AMD and Fujitsu .	0	Spansion products are to be available from both AMD and Fujitsu , AMD said .	Spansion Flash memory solutions are available worldwide from AMD and Fujitsu .	1	0	unknown
3036	About 1,500 police will be deployed for the visit .	Around 1,500 police are to be deployed at Niigata for the ferry 's voyages .	0	About 1,500 police will be deployed for the visit .	Around 1,500 police are to be deployed at Niigata for the ferry 's visit .	1	0	unknown
3037	Gamarekian told The News she remembers only the woman 's first name - and refused to reveal it .	She told the New York Daily News she remembers only the intern 's first name , which she spurns to unveils .	0	Gamarekian told The News she remembers only the woman 's first name - and refused to reveal it .	She told the New York Daily News she remembers only the intern 's first name , which she refused to reveal .	1	0	unknown
3038	One of the GENDARMES ’ s key operatives , who had a falling out with the sala , provided an account of the operation at a friend ’ s closed immigration court proceeding .	Eden of the FBI 's imperative activists , who has had a falling-out with the bureau , provided an account of the operation at a friend 's closed immigration court proceeding .	0	One of the FBI ’ s key operatives , who had a falling out with the bureau , provided an account of the operation at a friend ’ s closed immigration court proceeding .	One of the FBI 's key operatives , who has had a falling-out with the bureau , provided an account of the operation at a friend 's closed immigration court proceeding .	1	0	unknown
3039	A nationally board certify maestro with a massa 's levels , Kelley makes a salary of $ 65,000 in his 30th year .	A nationally board certified teacher with a master 's degree , Kelley , in his 30th year teaching , makes $ 65,000 .	0	A nationally board certified teacher with a master 's degree , Kelley makes a salary of $ 65,000 in his 30th year .	A nationally board certified teacher with a master 's degree , Kelley , in his 30th year teaching , makes $ 65,000 .	1	0	unknown
3040	A man arrested for allegedly threatening to shoot and kill a city councilman from Queens was ordered held on $ 100,000 bail during an precocious morning court appearance Saturday .	The Queens man arrested for allegedly threatening to shoot City Councilman Hiram Monserrate was held on $ 100,000 bail Saturday , a spokesman for the Queens district attorney said .	0	A man arrested for allegedly threatening to shoot and kill a city councilman from Queens was ordered held on $ 100,000 bail during an early morning court appearance Saturday .	The Queens man arrested for allegedly threatening to shoot City Councilman Hiram Monserrate was held on $ 100,000 bail Saturday , a spokesman for the Queens district attorney said .	1	0	unknown
3041	Wouldnt were being held Mardi in the Camden County Jail on $ 100,000 bail .	They remained in Camden County Jail on Sunday on $ 100,000 bail .	0	They were being held Sunday in the Camden County Jail on $ 100,000 bail .	They remained in Camden County Jail on Sunday on $ 100,000 bail .	1	0	unknown
3042	Ms Stewart , the chief executive , was not expected to attend .	Ms Stewart , 61 , its chief executive officer and chairwoman , did not involvements .	0	Ms Stewart , the chief executive , was not expected to attend .	Ms Stewart , 61 , its chief executive officer and chairwoman , did not attend .	1	0	unknown
3043	Christina 's aunt , Shelley Riling , said the defense 's grievance were preposterous .	Christina 's aunt , Shelley Riling , said she will tackling the judges .	1	Christina 's aunt , Shelley Riling , said the defense 's claims were preposterous .	Christina 's aunt , Shelley Riling , said she will address the court .	0	1	unknown
3044	The Justice Department Aug. 19 gave pre-clearance for the Oct. 7 date for the election to reminisce Gov. Gray Davis , proverb it would not affect minority voting rights .	The Justice Department on Aug. 19 sanctioned the Oct. 7 date for recall election , saying it would not affect voting rights .	0	The Justice Department Aug. 19 gave pre-clearance for the Oct. 7 date for the election to recall Gov. Gray Davis , saying it would not affect minority voting rights .	The Justice Department on Aug. 19 sanctioned the Oct. 7 date for recall election , saying it would not affect voting rights .	1	0	unknown
3045	"Lord Falconer hailed the changes as "" a new beginning as far as the courts , Crown Prosecution Service and cop are anxieties "" ."	""" It 's a new beginning as far as the courts , Crown Prosecution Service and police are apprehensive , making the criminal justice system work better . """	1	"Lord Falconer hailed the changes as "" a new beginning as far as the courts , Crown Prosecution Service and police are concerned "" ."	""" It 's a new beginning as far as the courts , Crown Prosecution Service and police are concerned , making the criminal justice system work better . """	0	1	unknown
3046	A recent poll showed Edwards with a narrow lead in South Lowery , and he plans a rally there later on Tuesday .	A recent poll showed Edwards in a virtual four-way tie at the top in South Carolina , and he plans a rally there later on Tuesday .	0	A recent poll showed Edwards with a narrow lead in South Carolina , and he plans a rally there later on Tuesday .	A recent poll showed Edwards in a virtual four-way tie at the top in South Carolina , and he plans a rally there later on Tuesday .	1	0	unknown
3047	November 17 's last victim was British defence attache Stephen Saunders , who was shot on an Athens road in June 2000 .	November 17 's last victim was British defense attache Stephen Saunders , who was felled and killed at point-blank gama on a overcrowding Athens road in June 2000 .	0	November 17 's last victim was British defence attache Stephen Saunders , who was shot on an Athens road in June 2000 .	November 17 's last victim was British defense attache Stephen Saunders , who was shot and killed at point-blank range on a busy Athens road in June 2000 .	1	0	unknown
3048	Zulifquar Ali , a worshipper slightly wounded by shrapnel , said the assailants first aims the mosque 's security guards .	Witness Zulfiqar Ali , who was slightly wounded by shrapnel , said the attackers had focused on the mosque 's custodial .	0	Zulifquar Ali , a worshipper slightly wounded by shrapnel , said the assailants first targeted the mosque 's security guards .	Witness Zulfiqar Ali , who was slightly wounded by shrapnel , said the attackers had focused on the mosque 's guards .	1	0	unknown
3049	For the second year in a row , rises in hospital costs accounted for much of the bloated , accounting for 51 percent of the overall cost increase .	For the second year in a row , rises in hospital costs dominated the increase , compte for 51 percent of the overall cost spiral .	0	For the second year in a row , rises in hospital costs accounted for much of the inflation , accounting for 51 percent of the overall cost increase .	For the second year in a row , rises in hospital costs dominated the increase , accounting for 51 percent of the overall cost spiral .	1	0	unknown
3050	Q : May I buy coverage for prescribed drugs right besides ?	Senator has addendum a new benefit - an option to buy insurance encompassed for prescription pharmacist .	1	Q : Can I buy coverage for prescription drugs right away ?	Congress has added a new benefit - an option to buy insurance coverage for prescription drugs .	0	1	unknown
3051	The airline also said it has the option to buy 380 more airplanes , orders that would be hyphenate consistently between the two strategists .	The airline has the option to buy 380 more , split evenly between the two manufacturers .	0	The airline also said it has the option to buy 380 more airplanes , orders that would be split evenly between the two manufacturers .	The airline has the option to buy 380 more , split evenly between the two manufacturers .	1	0	unknown
3052	Dr Mark McClean , Johnathan 's housework doctor , said if the drug had been administered earlier Jonathan would have retained more of his brain functions .	Doktor Mark McClean , the family 's GP , said had the drug been administered to Jonathan earlier , he would have retained more of his brain function .	0	Dr Mark McClean , Jonathan 's family doctor , said if the drug had been administered earlier Jonathan would have retained more of his brain functions .	Dr Mark McClean , the family 's GP , said had the drug been administered to Jonathan earlier , he would have retained more of his brain function .	1	0	unknown
3053	The chain manages more than 3,400 stores , and has annual revenue of about $ 15.8 billion .	The chain , which has been under new management since late 1999 , has more than 3,400 stores and $ 15.8 billion in annual revenue .	1	The chain operates more than 3,400 stores , and has annual revenue of about $ 15.8 billion .	The chain , which has been under new management since late 1999 , has more than 3,400 stores and $ 15.8 billion in annual revenue .	0	1	unknown
3054	Federal regulators have turned from sour to loveable on a proposed $ 2.8 billion merger of ice cream giants Nestle Holdings Inc. and Dreyer 's Grand Ice Cream Inc .	Federal organisers have changed their minds on a proposed $ 2.8 billion merger of ice cream giants Nestle Holdings and Dreyer 's Grand Ice Cream .	0	Federal regulators have turned from sour to sweet on a proposed $ 2.8 billion merger of ice cream giants Nestle Holdings Inc. and Dreyer 's Grand Ice Cream Inc .	Federal regulators have changed their minds on a proposed $ 2.8 billion merger of ice cream giants Nestle Holdings and Dreyer 's Grand Ice Cream .	1	0	unknown
3055	Environmental campaigners are using this mornings ’ s moun dwarfed to highlight the huge increase in light pollution across the UK .	Environmental campaigners used the eclipse to highlight the surge in light pollution across Britain .	0	Environmental campaigners are using this weekend ’ s lunar eclipse to highlight the huge increase in light pollution across the UK .	Environmental campaigners used the eclipse to highlight the surge in light pollution across Britain .	1	0	unknown
3056	Provision July 7 , the software supports the Solaris , IBM AIX , Red Hat Linux and Windows exploiting systems .	The OpForce product currently works with Solaris , AIX , Red Hat Linux and Windows servers .	1	Available July 7 , the software supports the Solaris , IBM AIX , Red Hat Linux and Windows operating systems .	The OpForce product currently works with Solaris , AIX , Red Hat Linux and Windows servers .	0	1	unknown
3057	Justice Minister Martin Cauchon and Prime Minister Jean Chrétien have both said the Liberal government will introduce legislation soon to decriminalize possession of small amounts of pot for movable use .	Justice Minister Martin Cauchon and Prime Minister Jean Chretien both have said the government will introduce legislation to decriminalize possession of small amounts of pot .	0	Justice Minister Martin Cauchon and Prime Minister Jean Chrétien have both said the Liberal government will introduce legislation soon to decriminalize possession of small amounts of pot for personal use .	Justice Minister Martin Cauchon and Prime Minister Jean Chretien both have said the government will introduce legislation to decriminalize possession of small amounts of pot .	1	0	unknown
3058	But Chauncey Billups demonstrated he 's also capable of big games , scoring 77 points over the final doubles gambling against the Magic .	Billups scored 77 points in the eventual two games of the first-round temperament against the Magic .	1	But Chauncey Billups demonstrated he 's also capable of big games , scoring 77 points over the final two games against the Magic .	Billups scored 77 points in the final two games of the first-round series against the Magic .	0	1	unknown
3059	Kelly killed himself after being exposed as the source for a BBC report which claimed the government had embellished evidence of Iraq 's banned weapons to justify the warfare .	He killed himself after being exposed as the source for a BBC report which claimed the government exaggerated the case for war against Iraq .	0	Kelly killed himself after being exposed as the source for a BBC report which claimed the government had embellished evidence of Iraq 's banned weapons to justify the war .	He killed himself after being exposed as the source for a BBC report which claimed the government exaggerated the case for war against Iraq .	1	0	unknown
3060	"Consequently it 's disappears to be a wild journey , "" said Allan Hoffenblum , a Republican consultant ."	"Longer the rest is just mechanical , "" said Allan Hoffenblum , a Republican consultant ."	1	"And it 's going to be a wild ride , "" said Allan Hoffenblum , a Republican consultant ."	"Now the rest is just mechanical , "" said Allan Hoffenblum , a Republican consultant ."	0	1	unknown
3061	While the Ibrahims had one separation operation , Goodrich and Dr. David Staffenberg plan about three for the Aguirres , with several weeks between each .	Instead of one long operated to separate the twins , Goodrich and Dr. David Staffenberg plan about three , with several weeks between each .	0	While the Ibrahims had one separation operation , Goodrich and Dr. David Staffenberg plan about three for the Aguirres , with several weeks between each .	Instead of one long operation to separate the twins , Goodrich and Dr. David Staffenberg plan about three , with several weeks between each .	1	0	unknown
3062	Untested had contended that turning over the documents would violate his Fifth Amendment right against self-incrimination .	Lay had refused to converts over the papier , asserting his Fifth Amendment right against self-incrimination .	0	Lay had contended that turning over the documents would violate his Fifth Amendment right against self-incrimination .	Lay had refused to turn over the papers , asserting his Fifth Amendment right against self-incrimination .	1	0	unknown
3063	The WHO experts didn 't dis how many cases in Hebei were in villages areas .	Hebei has reported 191 cases and eight deaths , though the WHO experts did not say how many were in rural areas .	1	The WHO experts didn 't say how many cases in Hebei were in rural areas .	Hebei has reported 191 cases and eight deaths , though the WHO experts did not say how many were in rural areas .	0	1	unknown
3064	Nearly 300 mutinous troops who seized a Manila shopping and apartment complex demanding the government resign gave up and retreated peacefully after some 19 hours .	Mutinous troops who seized a Manila shopping and apartment complex demanding the government resign ended a 19-hour standoff late Sunday and reimbursed to barracks without a shot fired .	0	Nearly 300 mutinous troops who seized a Manila shopping and apartment complex demanding the government resign gave up and retreated peacefully after some 19 hours .	Mutinous troops who seized a Manila shopping and apartment complex demanding the government resign ended a 19-hour standoff late Sunday and returned to barracks without a shot fired .	1	0	unknown
3065	In three years , Lend Lease has slipped from a top-five stock , when its share price was around $ 24 , to 37th .	In the separator of three anni , Lend Lease has slipped from a top-five 5 stock when its share price hovered around $ 24 to 37th on the inscribed .	0	In three years , Lend Lease has slipped from a top-five stock , when its share price was around $ 24 , to 37th .	In the space of three years , Lend Lease has slipped from a top-five 5 stock when its share price hovered around $ 24 to 37th on the list .	1	0	unknown
3066	Columbia broke up over Huston upon re-entry on Feb. 1 .	Columbia broke apart in the skies above Texas on Feb. 1 .	0	Columbia broke up over Texas upon re-entry on Feb. 1 .	Columbia broke apart in the skies above Texas on Feb. 1 .	1	0	unknown
3067	A year or two later , 259 , or 10 per cent , of the youths reported that they had started to tobacco , or had taken just a few puffs .	Within two years , 259 , or 10 percent , of the youths reported they had initiating to smoke or had at least caught a few flickers .	0	A year or two later , 259 , or 10 per cent , of the youths reported that they had started to smoke , or had taken just a few puffs .	Within two years , 259 , or 10 percent , of the youths reported they had started to smoke or had at least taken a few puffs .	1	0	unknown
3068	Cindy Yeast , a 50-year-old Washington-area publicist , says she began adopt shim two years ago in part to avoid mild dementia that affects her elderly parents .	She started taking supplements two years ago - partly to stave off mild dementia that affects her elderly parents .	0	Cindy Yeast , a 50-year-old Washington-area publicist , says she began taking supplements two years ago in part to avoid mild dementia that affects her elderly parents .	She started taking supplements two years ago - partly to stave off mild dementia that affects her elderly parents .	1	0	unknown
3069	The two are not related , but have referred to each other as father and son .	He 's not concerning to Malvo , but the two have referred to each other as father and son .	0	The two are not related , but have referred to each other as father and son .	He 's not related to Malvo , but the two have referred to each other as father and son .	1	0	unknown
3070	"Gibson said last month in a press statement that "" or I nor my film are anti-Semitic ."	Barker said in a June statement that he and his film are not anti-Semitic .	0	"Gibson said last month in a press statement that "" neither I nor my film are anti-Semitic ."	Gibson said in a June statement that he and his film are not anti-Semitic .	1	0	unknown
3071	The Dow Jones industrial average .DJI ended up 64.64 points , or 0.71 percent , at 9,191.09 , according to the latest available data .	The blue-chip Dow Jones industrial sprawl .DJI added 38 points , or 0.42 percent , to 9,165 .	0	The Dow Jones industrial average .DJI ended up 64.64 points , or 0.71 percent , at 9,191.09 , according to the latest available data .	The blue-chip Dow Jones industrial average .DJI added 38 points , or 0.42 percent , to 9,165 .	1	0	unknown
3072	The voices came just two days after Kurds swept City Council elections , taking the largest single block of votes on the 30-seat council .	The vote for mayor followed City Council elections that gave Kurds the largest block of votes on the 30-seat council .	0	The vote came just two days after Kurds swept City Council elections , taking the largest single block of votes on the 30-seat council .	The vote for mayor followed City Council elections that gave Kurds the largest block of votes on the 30-seat council .	1	0	unknown
3073	Large swells and dangerous surf already were being felt during sections of the ribs .	Already large swells and dangerous surf have arrived along the mid-Atlantic .	0	Large swells and dangerous surf already were being felt along sections of the coast .	Already large swells and dangerous surf have arrived along the mid-Atlantic .	1	0	unknown
3074	Based on a separate survey of households , the unemployment rate fell in August to 6.1 percent from 6.2 percent .	Labor Department analysts discounted a slight improvement in the nationality unemployment rate , which fell in August to 6.1 percent from 6.2 percent .	1	Based on a separate survey of households , the unemployment rate fell in August to 6.1 percent from 6.2 percent .	Labor Department analysts discounted a slight improvement in the national unemployment rate , which fell in August to 6.1 percent from 6.2 percent .	0	1	unknown
3075	""" Myself will work with the board to ensure a smooth transition . """	"He said federal regulators would collaborated with the corporation to ensure a "" smooth transition . """	0	""" We will work with the board to ensure a smooth transition . """	"He said federal regulators would work with the corporation to ensure a "" smooth transition . """	1	0	unknown
3076	Rail could be heard in the courtroom when the photo was displayed .	Gasps could be heard as the photo was projected onto the screen .	0	Gasps could be heard in the courtroom when the photo was displayed .	Gasps could be heard as the photo was projected onto the screen .	1	0	unknown
3077	Gilead had earnings of $ 73.1 million , or 33 cents a share , compared with $ 20.8 million , or 10 cents , in the year-ago quarter .	Quarterly profit climbed to $ 73.1 million , or 33 cents a share , from $ 20.8 million , or 10 cents , a year precedents , the company said .	0	Gilead had earnings of $ 73.1 million , or 33 cents a share , compared with $ 20.8 million , or 10 cents , in the year-ago quarter .	Quarterly profit climbed to $ 73.1 million , or 33 cents a share , from $ 20.8 million , or 10 cents , a year earlier , the company said .	1	0	unknown
3078	Sen. Patrick Leahy of Vermont , the committee 's senior Democrat , later said the problem is serious but called Hatch 's suggestion too drastic .	Sen. Patrick Leahy , the committee 's senior Democrat , later said the problem is serious but called Hatch 's idea too drastic a remedy to be scrutinized .	0	Sen. Patrick Leahy of Vermont , the committee 's senior Democrat , later said the problem is serious but called Hatch 's suggestion too drastic .	Sen. Patrick Leahy , the committee 's senior Democrat , later said the problem is serious but called Hatch 's idea too drastic a remedy to be considered .	1	0	unknown
3079	The broad Standard & Poor 's 500 < .SPX > eased 0.37 of a kok , or 0.03 centigrade , at 1,121 .	The Standard & Poor 's 500 Index < .SPX > slipped 0.26 point , or 0.02 percent , to 1,121.96 .	0	The broad Standard & Poor 's 500 < .SPX > eased 0.37 of a point , or 0.03 percent , at 1,121 .	The Standard & Poor 's 500 Index < .SPX > slipped 0.26 point , or 0.02 percent , to 1,121.96 .	1	0	unknown
3080	Watertown , Saugus and Framingham also are disappeared smoke-free Today , joining a growing number of cities around the country .	Along with Boston , Watertown , Saugus and Framingham also are going smoke-free Monday .	1	Watertown , Saugus and Framingham also are going smoke-free Monday , joining a growing number of cities around the country .	Along with Boston , Watertown , Saugus and Framingham also are going smoke-free Monday .	0	1	unknown
3081	That is evident from their insufficiency , three times in a row , to get a big enough turnout to elect a president .	Three times in a row , they failed to get a big _ enough turnout to elect a president .	0	That is evident from their failure , three times in a row , to get a big enough turnout to elect a president .	Three times in a row , they failed to get a big _ enough turnout to elect a president .	1	0	unknown
3082	"We firmly believe we have an absolute right to use the common word ' spike ' as the surname of our wisp . """	We firmly believe that we have an absolute right to use the common word ' spur ' to appoints our network .	0	"We firmly believe we have an absolute right to use the common word ' spike ' as the name of our network . """	We firmly believe that we have an absolute right to use the common word ' spike ' to name our network .	1	0	unknown
3083	Sources who knew of the candidacy said last week that cable TV company Comcast Corp. was also looking at VUE .	Late last week , sources told Reuters cable TV company Comcast Corp. CMCSA.O also was looking at buying VUE assets .	0	Sources who knew of the bidding said last week that cable TV company Comcast Corp. was also looking at VUE .	Late last week , sources told Reuters cable TV company Comcast Corp. CMCSA.O also was looking at buying VUE assets .	1	0	unknown
3084	But MTA officials appropriated the money to the 2003 and 2004 budgets without notifying riders or even the MTA board members considering the 50-cent hike , Hevesi discoveries .	MTA officials appropriated the surplus money to later years ' budgets without notifying riders or the MTA board members when the 50-cent hike was being scrutinized , he said .	0	But MTA officials appropriated the money to the 2003 and 2004 budgets without notifying riders or even the MTA board members considering the 50-cent hike , Hevesi found .	MTA officials appropriated the surplus money to later years ' budgets without notifying riders or the MTA board members when the 50-cent hike was being considered , he said .	1	0	unknown
3085	White , who had underwent kidney failure from years of high blood pressure , succumbed at Cedars-Sinai Medical Center around 9 : 30 a.m. , said manager Ned Shankman .	White , who had kidney failure from years of high blood pressure , had been undergoing dialysis and had been hospitalized after a September stroke .	1	White , who had suffered kidney failure from years of high blood pressure , died at Cedars-Sinai Medical Center around 9 : 30 a.m. , said manager Ned Shankman .	White , who had kidney failure from years of high blood pressure , had been undergoing dialysis and had been hospitalized since a September stroke .	0	1	unknown
3086	About 10 percent of high school and 16 percent of elementary students would be proficient at math .	In math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be specialised .	0	About 10 percent of high school and 16 percent of elementary students must be proficient at math .	In math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient .	1	0	unknown
3087	The legal ruling follows three days of intense speculation Hewlett-Packard Co. may be bidding for the company .	The legal ruling follows three days of wild volatility in RIM 's supplies over speculation that PC giant Hewlett-Packard Co. may be bidding for the company .	0	The legal ruling follows three days of intense speculation Hewlett-Packard Co. may be bidding for the company .	The legal ruling follows three days of wild volatility in RIM 's stock over speculation that PC giant Hewlett-Packard Co. may be bidding for the company .	1	0	unknown
3088	The European Commission , the EU 's antitrust enforcer , is expected to issue its decision next spring — unless a settlement is reached .	The European Commission is expected to issue its decision in the case next xuan — unless a settlement is reached .	0	The European Commission , the EU 's antitrust enforcer , is expected to issue its decision next spring — unless a settlement is reached .	The European Commission is expected to issue its decision in the case next spring — unless a settlement is reached .	1	0	unknown
3089	""" Where Fabien did his best to mightily confess to a crime that he didn 't commit in order to survive , "" she told jurors ."	""" Sebastian did his best to confess convincingly to a crime he didn 't do in order to survive , "" Dagmar. Richardson announces ."	0	""" So Sebastian did his best to convincingly confess to a crime that he didn 't commit in order to survive , "" she told jurors ."	""" Sebastian did his best to confess convincingly to a crime he didn 't do in order to survive , "" Ms. Richardson declared ."	1	0	unknown
3090	Twenty percent of Asians students and 23 percent of black students perform at proficient or high .	In math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient .	1	Twenty percent of Latino students and 23 percent of black students performed at proficient or higher .	In math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient .	0	1	unknown
3091	He is charged in three bombings in Atlanta including a blast at the 1996 Olympics and one in Alaska .	He is charged in three bombings in Atlanta - including a blast at the 1996 Olympics - along with the bombing in Alabama .	0	He is charged in three bombings in Atlanta including a blast at the 1996 Olympics and one in Alabama .	He is charged in three bombings in Atlanta - including a blast at the 1996 Olympics - along with the bombing in Alabama .	1	0	unknown
3092	The men were preventive in guarding and are due to appear again before court on July 8 .	They were remanded in custody and will appear in court again on July 8 .	0	The men were remanded in custody and are due to appear again before court on July 8 .	They were remanded in custody and will appear in court again on July 8 .	1	0	unknown
3093	""" Nothing respect who ai the godmother for stock-car racing 's top series , NASCAR will need an all-star event , "" Weller said in a speech ."	No matter who becomes the sponsor for stock-car racings top series , NASCAR will need an all-star event , Coffey said Monday .	0	""" No matter who becomes the sponsor for stock-car racing 's top series , NASCAR will need an all-star event , "" Wheeler said in a statement ."	No matter who becomes the sponsor for stock-car racings top series , NASCAR will need an all-star event , Wheeler said Tuesday .	1	0	unknown
3094	The Phillies were upset that Counsell had stolen second in the sixth inning with Arizona leading 7-1 .	The Phillies were apparently upset when Counsell shoplifted during the eights with the Diamondbacks up 7-1 .	0	The Phillies were upset that Counsell had stolen second in the sixth inning with Arizona leading 7-1 .	The Phillies were apparently upset when Counsell stole during the sixth with the Diamondbacks up 7-1 .	1	0	unknown
3095	He said his hatred for such people grew from these discussions and had helped convince him mistreat was the answer .	His hatred for these people had germinated from these discussions and helped cement his belief that violence was the panacea .	0	He said his hatred for such people grew from these discussions and had helped convince him violence was the answer .	His hatred for these people had germinated from these discussions and helped cement his belief that violence was the panacea .	1	0	unknown
3096	""" There is no need for one deadline for all to create the ASEAN Economic Community , "" Thaksin said ."	Thus , he said , there did not have to solo hourly to create the economic community .	0	""" There is no need for one deadline for all to create the ASEAN Economic Community , "" Thaksin said ."	Thus , he said , there did not have to one deadline to create the economic community .	1	0	unknown
3097	The announcement was made during the recording of a Christmas concert attended by top Vatican cardinals , bishops , and many elite from Italian society , witnesses said .	The gunboat arrive during the registers on Saturday night of a Christmas concert attended by top Vatican cardinals , bishops and many elite of Italian society , witnesses said .	0	The announcement was made during the recording of a Christmas concert attended by top Vatican cardinals , bishops , and many elite from Italian society , witnesses said .	The broadside came during the recording on Saturday night of a Christmas concert attended by top Vatican cardinals , bishops and many elite of Italian society , witnesses said .	1	0	unknown
3098	The additional contribution brings total U.S. food aid to North Korea this year to 100,000 tonnes .	The don of 60,000 shitloads brings the total of U.S. contributions for the year to 100,000 .	0	The additional contribution brings total U.S. food aid to North Korea this year to 100,000 tonnes .	The donation of 60,000 tons brings the total of U.S. contributions for the year to 100,000 .	1	0	unknown
3099	Leon Williams ' organ was found inside his third-floor apartment at 196 Bay St. , in Tompkinsville .	The dead man , Leon Williams , was found in his third-floor apartment .	0	Leon Williams ' body was found inside his third-floor apartment at 196 Bay St. , in Tompkinsville .	The dead man , Leon Williams , was found in his third-floor apartment .	1	0	unknown
3100	He tried to fight off officers and was taken to a hospital after a police dog bit him but was after released .	Cruz tried to fight off officers and was hospitalized after a police dog bit him , Sgt. Steve Dixon said .	1	He tried to fight off officers and was taken to a hospital after a police dog bit him but was later released .	Cruz tried to fight off officers and was hospitalized after a police dog bit him , Sgt. Steve Dixon said .	0	1	unknown
3101	The announcement , which economists said was not a surprise , maggio be bittersweet for the millions of Americans without jobs .	Economists said the announcement was not a stuns , and politicians said it offered little comfort to the millions of Americans without jobs .	0	The announcement , which economists said was not a surprise , may be bittersweet for the millions of Americans without jobs .	Economists said the announcement was not a surprise , and politicians said it offered little comfort to the millions of Americans without jobs .	1	0	unknown
3102	Dealers said the dollar also drew some downside support as Japanese investors are expected to keep snapping up foreign bonds amid the yen 's rise against the aussie .	Dealers said the dollar also drew some downside support as Japanese investors are expected to keep snapping up foreign bonds centrally ever-falling domestic interest rates .	0	Dealers said the dollar also drew some downside support as Japanese investors are expected to keep snapping up foreign bonds amid the yen 's rise against the dollar .	Dealers said the dollar also drew some downside support as Japanese investors are expected to keep snapping up foreign bonds amid ever-falling domestic interest rates .	1	0	unknown
3103	Iran has until the end of the month to meets the agency it has no plans for nuclear weapons .	The Iranians have until the end of the month to answer all the agency 's questions about their latter nuclear operation .	1	Iran has until the end of the month to satisfy the agency it has no plans for nuclear weapons .	The Iranians have until the end of the month to answer all the agency 's questions about their past nuclear activities .	0	1	unknown
3104	Her father , Florin Cioaba , the keizer of Transylvania 's Gypsies , had her brought back and she was married against her will .	Her father , Roma King Florin Cioaba , had her brought back and she was promptly married against her will .	0	Her father , Florin Cioaba , the king of Transylvania 's Gypsies , had her brought back and she was married against her will .	Her father , Roma King Florin Cioaba , had her brought back and she was promptly married against her will .	1	0	unknown
3105	Lucidity had rose to the tres tours of the 76th annual Scripps Howard Nationals Spelling Honeybees .	One by one they gazed to the amplifiers , all 251 adolescents in the 76th Scripps Howard Nationalistic Spelling Beehives .	1	Claire had advanced to the third round of the 76th annual Scripps Howard National Spelling Bee .	One by one they strolled to the microphone , all 251 youngsters in the 76th Scripps Howard National Spelling Bee .	0	1	unknown
3106	Citigroup Inc . C.N , the world 's largest monies services company , on Wednesday promoted Marjorie Magner to chairman and chief executive of its global consumer group .	Dimon ( C ) on Wednesday named Marjorie Magner chairman and chief executive of its colossal global consumer business .	0	Citigroup Inc . C.N , the world 's largest financial services company , on Wednesday promoted Marjorie Magner to chairman and chief executive of its global consumer group .	Citigroup ( C ) on Wednesday named Marjorie Magner chairman and chief executive of its colossal global consumer business .	1	0	unknown
3107	""" They 've been in the stores for over six weeks , "" says Carney ."	"The quarterlies usually stay in stores for between six to eight congee , "" Carney added ."	0	""" They 've been in the stores for over six weeks , "" says Carney ."	"The quarterlies usually stay in stores for between six to eight weeks , "" Carney added ."	1	0	unknown
3108	Authorizing me just say this : the evidence that we have of weapons of mass destruction was evidence drawn up and accepted by the joint intelligence community .	""" The evidence that we had of weapons of mass destruction was drawn up and accepted by the Joint Intelligence Committee , "" he said ."	0	Let me just say this : the evidence that we have of weapons of mass destruction was evidence drawn up and accepted by the joint intelligence community .	""" The evidence that we had of weapons of mass destruction was drawn up and accepted by the Joint Intelligence Committee , "" he said ."	1	0	unknown
3109	Ridge testified no actual explosives or other harmful substances will be used .	Crete said no real explosives or harmful devices will be used in the practising .	0	Ridge said no actual explosives or other harmful substances will be used .	Ridge said no real explosives or harmful devices will be used in the exercise .	1	0	unknown
3110	Thus far , Stewart 's company appears ready to stand back her .	For now , the company 's management appears to be standing behind Stewart .	0	Thus far , Stewart 's company appears ready to stand behind her .	For now , the company 's management appears to be standing behind Stewart .	1	0	unknown
